variant,model,rep,wall,ess,rhat,divs
pf_full,accel_gp,1.0,31.344,1604.404277,1.00522,43.0
pf_full,bym2_offset_only,1.0,57.969,346.134795,1.008969,0.0
pf_full,diamonds,1.0,89.723,1478.119219,1.003411,0.0
pf_full,eight_schools_centered,1.0,0.211,156.929137,1.037738,41.0
pf_full,hier_2pl,1.0,155.879,2024.819315,1.006668,0.0
pf_full,kronecker_gp,1.0,739.987,679.515399,1.008529,18.0
pf_full,lotka_volterra,1.0,5.948,1134.823161,1.00377,0.0
pf_full,lsat_model,1.0,12.746,892.681978,1.007877,0.0
pf_full,pilots,1.0,1.701,11.749429,1.324412,871.0
pf_full,radon_partially_pooled_noncentered,1.0,50.805,387.850982,1.011814,0.0
pf_w200,accel_gp,1.0,21.169,1576.191836,1.004752,55.0
pf_w200,bym2_offset_only,1.0,47.176,240.501997,1.013964,0.0
pf_w200,diamonds,1.0,48.976,712.756651,1.006733,0.0
pf_w200,eight_schools_centered,1.0,0.188,170.286837,1.017299,63.0
pf_w200,hier_2pl,1.0,123.486,1763.19212,1.009267,0.0
pf_w200,kronecker_gp,1.0,445.908,239.293305,1.027821,14.0
pf_w200,lotka_volterra,1.0,4.29,936.583813,1.006058,0.0
pf_w200,lsat_model,1.0,9.378,1009.667144,1.006491,0.0
pf_w200,pilots,1.0,1.193,8.971769,1.377486,796.0
pf_w200,radon_partially_pooled_noncentered,1.0,46.238,451.545763,1.007911,0.0
