variant,model,rep,wall,ess,rhat,divs
pf_full,accel_gp,0,31.796,2248.122874,1.0038,43
pf_full,accel_gp,1,31.344,1604.404277,1.00522,42
pf_full,accel_gp,2,30.535,511.386375,1.011041,119
pf_full,bym2_offset_only,0,62.476,381.978786,1.007812,0
pf_full,bym2_offset_only,1,57.969,341.521006,1.008969,0
pf_full,bym2_offset_only,2,57.706,346.134795,1.019137,0
pf_full,diamonds,0,87.997,1562.721684,1.005069,0
pf_full,diamonds,1,93.387,1478.119219,1.003411,0
pf_full,diamonds,2,89.723,1354.565527,1.00248,0
pf_full,eight_schools_centered,0,0.227,156.929137,1.052545,32
pf_full,eight_schools_centered,1,0.211,214.505857,1.016199,41
pf_full,eight_schools_centered,2,0.193,129.984304,1.037738,91
pf_full,hier_2pl,0,145.917,2024.819315,1.006668,0
pf_full,hier_2pl,1,166.434,2067.356876,1.00697,0
pf_full,hier_2pl,2,155.879,1947.825197,1.006169,0
pf_full,kronecker_gp,0,798.072,777.66064,1.008529,26
pf_full,kronecker_gp,1,718.407,679.515399,1.008321,18
pf_full,kronecker_gp,2,739.987,569.841439,1.013334,14
pf_full,lotka_volterra,0,5.948,1163.650421,1.003701,0
pf_full,lotka_volterra,1,6.572,1049.388292,1.00808,0
pf_full,lotka_volterra,2,4.821,1134.823161,1.00377,0
pf_full,lsat_model,0,12.746,892.681978,1.007512,0
pf_full,lsat_model,1,12.95,658.080496,1.008935,0
pf_full,lsat_model,2,11.551,1175.372401,1.007877,0
pf_full,pilots,0,1.701,7.261384,1.550283,871
pf_full,pilots,1,1.791,11.749429,1.324412,907
pf_full,pilots,2,1.668,40.595526,1.082945,352
pf_full,radon_partially_pooled_noncentered,0,52.877,345.713648,1.02215,0
pf_full,radon_partially_pooled_noncentered,1,50.805,387.850982,1.00646,0
pf_full,radon_partially_pooled_noncentered,2,49.619,394.089077,1.011814,0
pf_w200,accel_gp,0,21.572,961.294278,1.004586,55
pf_w200,accel_gp,1,21.169,1576.191836,1.004904,96
pf_w200,accel_gp,2,21.115,1657.190975,1.004752,50
pf_w200,bym2_offset_only,0,46.795,238.859748,1.014262,0
pf_w200,bym2_offset_only,1,47.176,248.945874,1.013964,0
pf_w200,bym2_offset_only,2,47.961,240.501997,1.011193,0
pf_w200,diamonds,0,48.976,593.241192,1.006733,0
pf_w200,diamonds,1,47.32,712.756651,1.009679,0
pf_w200,diamonds,2,49.04,893.051314,1.005332,0
pf_w200,eight_schools_centered,0,0.198,170.286837,1.015215,67
pf_w200,eight_schools_centered,1,0.188,352.475555,1.017299,35
pf_w200,eight_schools_centered,2,0.188,129.730107,1.023046,63
pf_w200,hier_2pl,0,125.357,1792.814101,1.009267,0
pf_w200,hier_2pl,1,123.486,1763.19212,1.007428,0
pf_w200,hier_2pl,2,119.717,1707.061249,1.009362,0
pf_w200,kronecker_gp,0,446.175,147.482572,1.033719,9
pf_w200,kronecker_gp,1,445.908,239.293305,1.027821,17
pf_w200,kronecker_gp,2,441.318,365.756743,1.017088,14
pf_w200,lotka_volterra,0,4.498,936.583813,1.006192,0
pf_w200,lotka_volterra,1,4.29,1118.536228,1.003568,0
pf_w200,lotka_volterra,2,3.649,809.995532,1.006058,0
pf_w200,lsat_model,0,9.378,1009.667144,1.006491,0
pf_w200,lsat_model,1,9.15,1075.947111,1.005909,0
pf_w200,lsat_model,2,11.819,997.843055,1.007593,0
pf_w200,pilots,0,1.671,7.02672,1.705988,796
pf_w200,pilots,1,0.651,16.921898,1.174281,647
pf_w200,pilots,2,1.193,8.971769,1.377486,1062
pf_w200,radon_partially_pooled_noncentered,0,45.896,401.981111,1.007911,0
pf_w200,radon_partially_pooled_noncentered,1,49.8,451.545763,1.014914,0
pf_w200,radon_partially_pooled_noncentered,2,46.238,480.370962,1.0079,0
