# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = model_model
# start_datetime = 2026-08-20 13:02:56 UTC
# method = sample (Default)
#   sample
#     num_samples = 40
#     num_warmup = 40
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /home/m0hawk/Documents/apin/stan/data/accel_gp.json
# init = 2 (Default)
# random
#   seed = 20260819
# output
#   file = /home/m0hawk/Documents/apin/stan/results/profile/accel_gp/chain.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,sdgp_1,lscale_1,zgp_1.1,zgp_1.2,zgp_1.3,zgp_1.4,zgp_1.5,zgp_1.6,zgp_1.7,zgp_1.8,zgp_1.9,zgp_1.10,zgp_1.11,zgp_1.12,zgp_1.13,zgp_1.14,zgp_1.15,zgp_1.16,zgp_1.17,zgp_1.18,zgp_1.19,zgp_1.20,zgp_1.21,zgp_1.22,zgp_1.23,zgp_1.24,zgp_1.25,zgp_1.26,zgp_1.27,zgp_1.28,zgp_1.29,zgp_1.30,zgp_1.31,zgp_1.32,zgp_1.33,zgp_1.34,zgp_1.35,zgp_1.36,zgp_1.37,zgp_1.38,zgp_1.39,zgp_1.40,Intercept_sigma,sdgp_sigma_1,lscale_sigma_1,zgp_sigma_1.1,zgp_sigma_1.2,zgp_sigma_1.3,zgp_sigma_1.4,zgp_sigma_1.5,zgp_sigma_1.6,zgp_sigma_1.7,zgp_sigma_1.8,zgp_sigma_1.9,zgp_sigma_1.10,zgp_sigma_1.11,zgp_sigma_1.12,zgp_sigma_1.13,zgp_sigma_1.14,zgp_sigma_1.15,zgp_sigma_1.16,zgp_sigma_1.17,zgp_sigma_1.18,zgp_sigma_1.19,zgp_sigma_1.20,vsdgp_1.1,vlscale_1.1.1,vsdgp_sigma_1.1,vlscale_sigma_1.1.1,b_Intercept,b_sigma_Intercept
# Adaptation terminated
# Step size = 0.00985008
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
-649.96273,0.82881261,0.0098500832,9,511,0,685.1972,-1.6953501,28.964255,0.050053732,-1.3905056,0.12049511,0.45135332,0.95269878,-2.0867764,-0.75229645,-0.90185327,0.64444595,-2.3033017,-0.44520404,0.35667234,1.8789277,-0.4474599,-2.6443057,0.34100366,-0.52290608,-0.093685,-0.66827879,0.69639662,1.5417672,-0.96332772,-1.873544,-0.81456206,0.4023788,-0.37472286,0.83182984,0.12372191,0.40156265,0.21466109,-0.29838713,0.14341893,-0.35623402,0.5649817,-0.12996514,-0.30309151,-0.094407884,0.49067455,0.21705685,0.10398187,-0.010030792,2.8147895,4.3490763,0.010252721,-0.050632392,-0.74171244,0.81644426,0.12841598,0.78565248,-1.2976261,-2.9574756,-0.26643914,-2.2015656,-0.0097707801,-0.80299217,-0.33846641,1.2626906,0.32838383,0.2792969,-0.14604643,-1.267811,0.84384347,-0.095486453,0.85350122,28.964255,0.050053732,4.3490763,0.010252721,-1.6953501,2.8147895
-649.37762,0.92867963,0.0098500832,9,511,0,681.69318,-2.7122806,37.579447,0.050583088,0.087160181,-0.99216194,1.7175371,-0.077954975,-0.012631708,-0.30763661,2.498098,1.2083858,1.3634263,-1.8476367,0.84819011,0.91478347,-0.91946623,0.39836252,0.92899535,2.312612,-0.62558892,-0.96806371,-0.40384079,0.71433539,-0.10458628,0.2264605,1.1686764,0.78890225,0.37729524,-1.0173415,0.066762433,-0.38324948,0.069847439,0.31401993,-0.053730512,0.36492086,0.0051936374,0.68924304,-0.24177565,-0.033392087,-0.10832129,-0.14269468,-0.5223374,-0.83065891,2.4989493,2.2611859,0.021333407,-0.530738,-0.39611106,-1.4622979,1.3546586,0.24224167,-0.18177566,1.5450782,1.4694256,3.4911256,0.14405761,0.27770198,-0.84987441,-1.1681123,1.1161427,-0.20710958,-0.21856817,0.60765789,-0.98326867,1.3202749,-0.18062986,37.579447,0.050583088,2.2611859,0.021333407,-2.7122806,2.4989493
-650.85898,0.39014347,0.0098500832,9,511,0,691.52489,-5.1736713,39.739388,0.08403842,0.054032671,0.48103428,0.30620898,0.74947386,-2.4038003,-0.40684115,0.20042797,1.1279754,0.99138725,-0.44457617,1.754943,0.41616878,-1.594706,-1.7905071,-1.3398765,0.19432035,-0.86942466,-0.4434557,0.72726064,2.2793147,0.092662927,-0.40727779,-0.18015795,1.7236079,0.13233996,-0.86686009,0.89804695,0.4825925,0.14466625,0.11182507,-0.52609336,0.32374793,-0.92645994,-0.63547563,-0.57110555,-1.2228881,2.6473453,1.290678,-0.76875153,0.04106984,2.5682571,1.8138235,0.027180957,-0.41644594,0.47753971,-1.3960983,0.45133896,-0.61566501,-1.3807545,0.10238761,1.9194959,2.5563616,1.4382504,-1.0018673,0.26253338,-1.0592666,1.0028393,0.4557543,-0.027029516,-0.99925345,0.060355037,0.263633,0.57808914,39.739388,0.08403842,1.8138235,0.027180957,-5.1736713,2.5682571
-645.17473,0.47572076,0.0098500832,9,511,0,680.3605,-3.9936795,42.503456,0.085781595,0.4877217,-0.39667621,2.7154276,0.80819387,0.169483,-0.042957088,0.28851755,-0.34327725,-0.53144355,-1.3539641,1.1086699,1.6877434,-1.2044555,0.29251112,-0.86589165,1.120265,-0.57879668,-0.12933397,0.60559817,1.3839509,0.28754008,-1.4630772,-0.36993578,-0.072634723,-0.12273653,-2.2123559,-0.49808887,-0.074369678,0.14573881,-0.30230062,-0.93813947,0.03883337,-0.59317091,-0.7630972,-1.9336884,0.80577531,1.2072714,-0.44842779,-0.43409156,-0.87938831,2.0712481,3.1679749,0.015057489,1.2226857,-1.8474425,0.018649153,-0.3006141,-0.2548228,-0.08752597,-0.97501442,2.0297356,1.7755397,1.557284,0.62663483,0.65841856,-0.58658621,1.2619738,-0.99774367,0.3518313,-0.21229492,-0.027993343,1.054994,0.26962882,42.503456,0.085781595,3.1679749,0.015057489,-3.9936795,2.0712481
-645.49096,0.91184606,0.0098500832,6,108,1,666.99589,-4.2224517,43.271622,0.083810627,0.39429133,-0.23103905,2.4281779,0.83764429,0.29762171,-0.26808135,0.40151957,-0.57033731,-0.38952837,-1.4797128,1.051011,1.5327119,-1.204752,0.34210198,-1.1634187,1.2451864,-0.59552468,-0.52843611,0.13858283,1.3493183,-0.18392302,-1.3475396,-0.47502839,0.17269474,-0.077727668,-2.2777915,-0.28679335,-0.28912405,0.24441472,-0.20242005,-1.2857744,-0.033716607,-0.75629695,-0.44239757,-2.3044761,0.80029933,1.0438632,-0.31159762,-0.16689211,-0.70730199,2.0087146,2.9075862,0.0152684,1.3972722,-2.0620172,0.081746575,0.09863358,-0.30950747,-0.19027807,-1.1277349,1.9609992,1.8203264,1.6595286,0.61279868,0.61441009,-0.52145021,1.3556988,-0.60802357,0.37514532,-0.35757934,0.073024746,1.2339998,0.35170118,43.271622,0.083810627,2.9075862,0.0152684,-4.2224517,2.0087146
-644.54229,0.024056122,0.0098500832,9,511,0,675.31788,-4.2026773,35.664821,0.087125123,-0.088855833,0.42829423,1.2239916,1.4070237,-0.43684738,-0.30803126,0.7869219,0.22993231,-0.1668137,-1.4201891,1.893432,1.1952746,0.14512372,-0.82879224,0.24181396,1.1243363,-0.60601873,-0.6207837,1.2137819,1.5264892,0.07159023,-1.6782997,0.1071884,0.37252357,-0.091176404,-0.67256825,-0.58676603,0.20779023,-0.035602059,-0.47611334,-1.7893142,1.0245355,-0.1340223,-0.87554321,-2.710763,1.4613625,0.43148227,-1.095226,-0.98705702,-1.4415111,2.0297358,2.8818893,0.011408393,1.4646098,0.093039447,0.099908794,0.33259606,0.40965066,-1.9798322,-0.95319628,0.86837133,1.0018503,1.5547584,-0.4107205,0.26700277,-0.57548766,0.83018702,-0.20942524,0.27402493,0.051144508,0.15579854,1.0622685,0.40285757,35.664821,0.087125123,2.8818893,0.011408393,-4.2026773,2.0297358
