# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = model_model
# start_datetime = 2026-08-20 13:03:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 40
#     num_warmup = 40
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /home/m0hawk/Documents/apin/stan/data/pilots.json
# init = 2 (Default)
# random
#   seed = 20260819
# output
#   file = /home/m0hawk/Documents/apin/stan/results/profile/pilots/chain.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a.1,a.2,a.3,a.4,a.5,b.1,b.2,b.3,b.4,b.5,b.6,b.7,b.8,mu_a,mu_b,sigma_a,sigma_b,sigma_y,y_hat.1,y_hat.2,y_hat.3,y_hat.4,y_hat.5,y_hat.6,y_hat.7,y_hat.8,y_hat.9,y_hat.10,y_hat.11,y_hat.12,y_hat.13,y_hat.14,y_hat.15,y_hat.16,y_hat.17,y_hat.18,y_hat.19,y_hat.20,y_hat.21,y_hat.22,y_hat.23,y_hat.24,y_hat.25,y_hat.26,y_hat.27,y_hat.28,y_hat.29,y_hat.30,y_hat.31,y_hat.32,y_hat.33,y_hat.34,y_hat.35,y_hat.36,y_hat.37,y_hat.38,y_hat.39,y_hat.40
# Adaptation terminated
# Step size = 0.028891
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
27.904291,0.50968896,0.028891046,4,15,0,-13.931878,0.14635235,0.090638335,0.41420726,0.27903304,0.45373457,-0.029191069,-0.15212341,0.24582381,0.021923585,0.04151444,0.60599217,-0.31207431,0.63597411,0.21582289,-0.026187993,5.9255772,0.66447682,0.29447177,0.11716128,-0.0057710627,0.39217616,0.16827594,0.18786679,0.75234452,-0.16572196,0.78232646,0.061447266,-0.06148508,0.33646214,0.11256192,0.13215278,0.6966305,-0.22143597,0.72661244,0.3850162,0.26208385,0.66003107,0.43613085,0.45572171,1.0201994,0.10213296,1.0501814,0.24984197,0.12690962,0.52485685,0.30095662,0.32054748,0.88502521,-0.033041268,0.91500715,0.4245435,0.30161115,0.69955838,0.47565815,0.49524901,1.0597267,0.14166026,1.0897087
31.854429,1,0.028891046,4,15,0,-22.509813,0.13820039,0.23227655,0.43692423,0.20063392,0.37266126,-0.075991391,-0.12265049,0.12232937,-0.19130059,0.11704348,0.70694681,-0.14226522,0.68658189,0.18484766,0.02394895,5.4196444,0.79646452,0.18179106,0.062209002,0.015549905,0.26052976,-0.0531002,0.25524388,0.8451472,-0.0040648289,0.82478228,0.15628516,0.10962606,0.35460592,0.040975958,0.34932003,0.93922336,0.090011329,0.91885844,0.36093284,0.31427374,0.5592536,0.24562364,0.55396771,1.143871,0.29465901,1.1235061,0.12464252,0.077983427,0.32296329,0.009333322,0.3176774,0.90758073,0.058368693,0.88721581,0.29666987,0.25001078,0.49499063,0.18136067,0.48970475,1.0796081,0.23039604,1.0592432
32.940073,0.86335969,0.028891046,4,15,0,-25.066836,0.18166594,0.19774811,0.17213763,0.13034794,0.18905193,0.27284214,-0.12700626,0.25793683,0.053072307,0.20097939,0.69070934,-0.13330949,0.60482381,0.064194709,0.072453783,5.4598722,0.71456197,0.2441738,0.45450807,0.054659678,0.43960277,0.23473825,0.38264533,0.87237527,0.048356448,0.78648975,0.47059024,0.070741848,0.45568494,0.25082041,0.3987275,0.88845744,0.064438617,0.80257192,0.44497977,0.045131369,0.43007446,0.22520994,0.37311702,0.86284697,0.038828139,0.77696144,0.40319007,0.0033416756,0.38828476,0.18342024,0.33132733,0.82105727,-0.0029615549,0.73517175,0.46189407,0.06204567,0.44698876,0.24212424,0.39003132,0.87976127,0.055742439,0.79387574
32.768506,0.98628992,0.028891046,4,15,0,-27.045257,0.12031031,0.14158377,0.23787979,0.18133345,0.38407305,0.090346678,-0.020299815,0.28197962,-0.11767003,0.36133975,0.9010031,-0.12668168,0.68265525,0.4192233,0.040999629,5.4719288,0.68173609,0.24287998,0.21065698,0.10001049,0.40228992,0.002640279,0.48165006,1.0213134,-0.0063713752,0.80296556,0.23193045,0.12128396,0.42356339,0.023913745,0.50292352,1.0425869,0.01490209,0.82423902,0.32822647,0.21757997,0.51985941,0.12020976,0.59921954,1.1388829,0.11119811,0.92053504,0.27168013,0.16103364,0.46331307,0.063663423,0.5426732,1.0823365,0.054651769,0.8639887,0.47441973,0.36377323,0.66605267,0.26640302,0.7454128,1.2850761,0.25739137,1.0667283
28.559878,0.95792625,0.028891046,4,15,0,-23.191475,0.15504276,0.22179658,0.23768471,0.056121126,0.32331004,0.096110291,-0.029302936,0.15884468,0.29334121,0.29545048,0.85709109,-0.30574291,0.64384196,0.45431161,0.012391873,6.0141067,0.5870642,0.26039111,0.25115305,0.12573983,0.31388744,0.44838397,0.45049324,1.0121339,-0.15070015,0.79888473,0.31790687,0.19249365,0.38064126,0.51513779,0.51724706,1.0788877,-0.08394633,0.86563855,0.333795,0.20838177,0.39652939,0.53102592,0.53313518,1.0947758,-0.068058204,0.88152667,0.15223142,0.02681819,0.2149658,0.34946234,0.3515716,0.91321222,-0.24962179,0.69996309,0.41942033,0.2940071,0.48215472,0.61665125,0.61876052,1.1804011,0.017567129,0.96715201
24.503847,0.29583484,0.028891046,4,31,0,-14.562758,0.32250789,0.30155189,0.31585005,0.42343026,0.39882124,0.14481026,-0.1944732,0.17153159,-0.38133939,0.048330168,0.61182138,0.036755122,0.72587711,-0.24551773,-0.037374896,4.7236671,0.92237988,0.21225913,0.46731815,0.12803468,0.49403947,-0.0588315,0.37083805,0.93432926,0.35926301,1.048385,0.44636215,0.10707869,0.47308348,-0.079787496,0.34988206,0.91337327,0.33830701,1.027429,0.46066031,0.12137684,0.48738163,-0.06548934,0.36418021,0.92767142,0.35260517,1.0417272,0.56824052,0.22895706,0.59496185,0.042090876,0.47176043,1.0352516,0.46018538,1.1493074,0.54363151,0.20434804,0.57035283,0.017481858,0.44715141,1.0106426,0.43557637,1.1246984
