# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = blr_model
# start_datetime = 2026-08-20 13:53:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /home/m0hawk/Documents/apin/stan/data/blr.json
# init = 2 (Default)
# random
#   seed = 20260819
# output
#   file = /home/m0hawk/Documents/apin/stan/runs/march_native/blr/rep0/chain_0.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = /home/m0hawk/Documents/apin/stan/build/blr__march_native/model.hpp
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,sigma
# Adaptation terminated
# Step size = 0.109005
# Diagonal elements of inverse mass matrix:
# 1.07492e-05, 1.07901e-05, 1.10237e-05, 1.08041e-05, 1.07419e-05, 0.00383624
-164.92168,0.96232949,0.1090048,2,3,0,165.50581,0.99847892,0.99815194,0.99774575,0.99830595,0.9970152,1.0920061
-167.10002,0.9579502,0.1090048,5,31,0,169.37399,1.0016545,1.0002785,0.99861673,1.0000912,0.99946595,0.95773914
-165.13105,0.97723449,0.1090048,3,7,0,169.25822,0.99947415,0.99892405,0.99965785,0.99931276,0.99884194,0.97880019
-162.89302,0.98592546,0.1090048,2,7,0,166.54473,1.0004637,0.99967117,0.9988836,0.99996744,0.99894959,0.98615569
-162.89097,0.94719766,0.1090048,4,23,0,164.92951,0.9987731,0.99829327,0.99693606,0.99811239,0.99743267,1.0193138
-162.99726,0.92607209,0.1090048,4,19,0,165.09792,0.99900487,0.99896515,0.99770408,0.9982955,0.99804054,0.9800152
-164.82948,0.69530832,0.1090048,4,31,0,168.54427,0.99941335,0.99886989,0.9972696,0.99929159,0.99784934,0.97333528
-165.27765,0.98881829,0.1090048,3,7,0,166.42199,0.99925723,0.99778595,0.99837875,0.99767961,0.99754202,0.97674987
-164.0369,1,0.1090048,2,3,0,165.68523,0.99901318,0.99754184,0.99819998,0.99771394,0.99792421,0.97894403
-163.23649,0.98890636,0.1090048,3,15,0,165.18586,0.99951023,0.99919644,0.99748295,0.99904899,0.99851992,0.97738114
