# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = blr_model
# start_datetime = 2026-08-20 13:54:50 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /home/m0hawk/Documents/apin/stan/data/blr.json
# init = 2 (Default)
# random
#   seed = 20261819
# output
#   file = /home/m0hawk/Documents/apin/stan/runs/march_native/blr/rep1/chain_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = /home/m0hawk/Documents/apin/stan/build/blr__march_native/model.hpp
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,sigma
# Adaptation terminated
# Step size = 0.108888
# Diagonal elements of inverse mass matrix:
# 1.08101e-05, 1.08799e-05, 1.10366e-05, 1.08418e-05, 1.08068e-05, 0.00586882
-163.72964,0.81625226,0.10888843,4,19,0,168.43941,0.9992444,0.99800388,0.99706866,0.9981647,0.99819133,0.91388744
-164.53053,0.7354851,0.10888843,4,23,0,167.93437,1.0000812,0.99900275,0.99990531,0.99913022,0.99908403,1.0417644
-163.8228,0.97484799,0.10888843,3,15,0,166.76325,0.99943874,0.99848851,0.99685156,0.99885,0.99829152,1.035697
-162.45057,0.98897901,0.10888843,3,15,0,164.67447,0.99960785,0.99845414,0.99866765,0.9985294,0.99866272,1.0490026
-162.22421,0.69901624,0.10888843,3,7,0,167.51029,0.99988549,0.99882486,0.99828388,0.99941043,0.9990889,1.0353063
-163.41243,0.81164707,0.10888843,2,3,0,164.57129,1.0002506,0.99945867,0.99908685,0.99894889,0.99858434,1.0275747
-163.92866,0.99136884,0.10888843,2,7,0,164.40727,1.0004891,0.99938689,0.99865406,1.0002302,0.99988383,1.0233607
-163.47103,0.93104844,0.10888843,3,15,0,165.59714,0.99948089,0.99888005,0.99907938,0.99955299,0.99866394,1.0224057
-162.75273,0.95234012,0.10888843,3,15,0,165.57166,0.99935253,0.99888664,0.99815737,0.99944678,0.99851845,1.043188
-163.01447,0.89777721,0.10888843,3,7,0,165.10141,0.99995133,0.99862856,0.99790735,0.99813485,0.99832033,1.0369111
-162.19489,0.73068884,0.10888843,3,7,0,166.8178,0.99920255,0.99889462,0.99809074,0.99902433,0.99857782,1.0204399
-163.42354,0.97260292,0.10888843,3,15,0,163.7489,0.99994168,0.99982999,0.99949134,0.99992482,0.99949311,1.0533952
-163.69621,0.91764835,0.10888843,3,15,0,165.998,1.0007219,0.99879785,0.99860232,0.99908806,0.99960572,1.0415972
-164.81991,0.8798731,0.10888843,3,7,0,166.31729,0.99915472,0.99951069,0.99803862,0.99956088,0.99919614,1.0550667
-167.62874,0.83813029,0.10888843,3,7,0,170.33651,1.0013356,0.99923347,0.9978662,0.99894499,0.99860484,1.0812999
-167.09718,0.92839755,0.10888843,3,7,0,171.18561,0.99845162,0.999167,0.99883633,0.99942869,0.99883072,1.077085
-162.24096,1,0.10888843,2,3,0,166.72282,0.99981935,0.99930717,0.99866742,0.99916468,0.99888113,1.0763784
-163.54885,0.92432116,0.10888843,4,23,0,165.0575,0.99825522,0.99739739,0.99642442,0.99708339,0.99741957,0.99288063
-164.66916,0.81837687,0.10888843,2,7,0,166.52138,0.99778205,0.9972492,0.99740005,0.99751787,0.99697395,1.0114026
-164.25415,0.92411098,0.10888843,2,3,0,166.44483,0.99779831,0.99740544,0.99735788,0.99782111,0.99747604,1.0225587
-165.52178,0.82967842,0.10888843,4,23,0,168.6701,0.99916795,0.99668949,0.99667509,0.99755607,0.99713794,1.078195
-165.44412,1,0.10888843,4,15,0,167.6884,0.99980336,0.99967349,0.99885272,0.99915431,0.9995368,1.2002405
-166.32039,0.98719204,0.10888843,4,15,0,167.70022,1.0008444,1.0008039,1.0003189,1.0001973,1.0005832,1.1665875
-166.51861,0.93986784,0.10888843,4,15,0,169.11171,1.0017064,1.0006407,0.999429,0.99983963,1.000521,1.1428884
-165.25852,0.93039307,0.10888843,5,31,0,169.20177,0.9983234,0.99782392,0.99760592,0.9968826,0.99750031,1.002439
-164.54685,0.97704017,0.10888843,3,7,0,167.37434,0.99807857,0.9979134,0.99710373,0.9972689,0.9980066,1.0081158
-165.67263,0.87985881,0.10888843,3,7,0,168.28612,0.99848581,0.99808153,0.99587411,0.99746518,0.99765189,0.99841816
-163.58458,1,0.10888843,2,3,0,166.05011,0.99849387,0.99732562,0.99766305,0.99799788,0.99737691,1.0003359
-162.84423,0.97074276,0.10888843,3,15,0,166.32703,0.99951899,0.99873974,0.9972791,0.99833472,0.99829235,1.0627071
-162.12295,0.89470071,0.10888843,3,7,0,165.44833,0.99974353,0.9988108,0.99859357,0.99895751,0.99855038,1.0702391
-163.47729,0.87210813,0.10888843,2,3,0,163.88249,0.99958678,0.99890322,0.99793527,0.99968229,0.99848302,1.0632484
-168.29821,0.77913156,0.10888843,4,19,0,170.91895,0.99809901,0.99800188,0.99594149,0.9983518,0.99669276,1.1959635
-167.47412,0.87525774,0.10888843,3,7,0,172.13179,0.9981922,0.99692876,0.99745197,0.99683526,0.99764968,1.2239346
-165.76407,0.82961727,0.10888843,5,31,0,173.36734,1.0015047,0.99988206,1.0007389,1.0009849,1.0002801,1.0057875
-163.66328,1,0.10888843,4,15,0,166.38714,1.0007254,1.0005131,0.99940248,1.0003297,0.99986471,0.9739091
-164.64257,0.91723875,0.10888843,2,3,0,165.22155,1.0008834,1.0006664,0.99956014,1.0008126,0.99974879,0.97537804
-165.46175,0.83797687,0.10888843,4,15,0,168.04839,1.0016283,0.99976206,0.99945402,1.0002624,1.0006882,1.003955
-165.11882,0.99256078,0.10888843,4,19,0,167.42906,0.99731081,0.99717444,0.99618624,0.99702949,0.99655331,0.97699609
-166.13046,0.71700058,0.10888843,3,7,0,169.17577,0.99869158,0.99800234,0.99668847,0.99678048,0.99781591,0.97412983
-163.2431,0.9943148,0.10888843,2,7,0,167.29887,0.99820148,0.99800848,0.99723566,0.99801821,0.99788631,0.98844597
-162.58673,0.95271942,0.10888843,4,27,0,165.10523,0.99959324,0.99857899,0.99858491,0.99875532,0.99829918,1.0825676
-164.77287,0.76962317,0.10888843,3,7,0,166.54904,0.99977438,0.99932809,0.99818239,0.99986937,0.99972219,1.068691
-163.86073,0.97661347,0.10888843,4,19,0,166.10268,1.000914,0.9993285,0.99959714,0.99925784,0.99915129,1.0203436
-162.60868,0.89110377,0.10888843,3,7,0,166.49508,0.99977422,0.99914055,0.99839053,0.99971139,0.9990807,1.039059
-163.04578,0.99835487,0.10888843,4,15,0,163.7466,1.000729,0.99951101,0.99937171,0.99925741,0.99948282,1.0684501
-162.75659,0.89103785,0.10888843,3,7,0,164.49159,1.0004287,0.99971701,0.99897374,1.0001046,0.99940594,1.0722512
-162.19808,0.84079735,0.10888843,4,15,0,165.14808,0.99974432,0.99814737,0.99778334,0.99856404,0.99852245,1.0147414
-165.06097,0.7313006,0.10888843,2,3,0,166.41838,0.99896015,0.99875629,0.99914995,0.99849533,0.99836333,1.0000967
-164.70897,0.9868679,0.10888843,3,15,0,167.62283,0.99970975,0.99838556,0.99666266,0.99841231,0.99784404,1.0815924
-162.97437,0.98580881,0.10888843,3,7,0,165.40394,0.99969033,0.9980473,0.99747125,0.99869621,0.99809095,1.0767023
-162.69204,0.9670951,0.10888843,3,7,0,164.02742,1.0002652,0.99852812,0.99847451,0.99911908,0.99878701,1.0791146
-163.97339,0.89846923,0.10888843,2,7,0,164.93785,0.99955381,0.99965861,0.99805542,0.99962943,0.99909945,1.0811572
-164.5423,0.94554853,0.10888843,3,7,0,166.39052,1.0005145,0.9988268,0.99901605,1.0002788,0.99920985,1.091455
-164.27622,0.96206902,0.10888843,3,7,0,167.54195,1.0002184,0.99981127,0.99897854,0.99874276,0.99945276,1.0823435
-162.46781,0.96380899,0.10888843,3,15,0,167.94993,1.0000486,0.99841419,0.99804839,0.99867512,0.99833816,0.98516451
-162.73419,0.73824175,0.10888843,2,3,0,166.04259,0.9996262,0.99808916,0.99785681,0.99871148,0.99884929,0.99743361
-162.33359,0.99823364,0.10888843,2,7,0,163.3091,0.99970835,0.99818862,0.99806194,0.99901816,0.99854314,0.99810616
-164.91599,0.76289417,0.10888843,2,3,0,165.72777,0.99993121,0.99915005,0.99765586,0.99857407,0.99772084,0.99160085
-162.42163,0.96705383,0.10888843,3,15,0,166.89251,0.99908036,0.99877969,0.99749241,0.99831705,0.99805946,0.9956639
-162.33645,0.89127228,0.10888843,4,31,0,164.58747,0.9999856,0.99884676,0.99809587,0.99874682,0.9986468,0.9463755
-165.06473,0.82494478,0.10888843,3,7,0,165.66684,0.99832821,0.99821942,0.99813937,0.9979961,0.99797676,0.93157665
-162.64571,1,0.10888843,3,11,0,165.90759,0.99915786,0.99770852,0.99773276,0.99818909,0.99801582,0.95410138
-162.71962,0.9811752,0.10888843,4,15,0,163.21593,0.99872747,0.99835307,0.99758857,0.99821329,0.9981382,0.94823975
-162.09665,0.92647713,0.10888843,3,15,0,163.7834,0.99975326,0.99849123,0.99812942,0.99887665,0.99878475,0.95896592
-161.909,0.98684863,0.10888843,3,15,0,162.36418,0.99976644,0.99880138,0.99835209,0.9990267,0.99845743,0.9703928
-161.95259,0.99547116,0.10888843,5,31,0,162.51934,0.99920257,0.99849362,0.9976487,0.99850445,0.99840616,0.97562875
-163.3986,0.72395174,0.10888843,3,11,0,167.01315,0.99848021,0.99745548,0.99707483,0.9973592,0.99771451,0.95189994
-163.18448,0.84202968,0.10888843,5,31,0,165.26714,0.99873641,0.99761975,0.99671132,0.9980949,0.99739574,0.97117895
-162.68059,0.79569829,0.10888843,3,7,0,165.07112,0.99880811,0.99826127,0.99753684,0.99780569,0.99782066,0.96430929
-163.56031,0.90169279,0.10888843,4,31,0,165.12445,0.99977012,0.99809419,0.99784178,0.99834449,0.99773866,1.0914245
-166.34519,0.92770242,0.10888843,4,15,0,168.56008,0.99719841,0.99641402,0.99558819,0.99664143,0.9970346,1.1099688
-164.44175,0.82577275,0.10888843,3,11,0,170.94967,0.99879056,0.9975485,0.9976599,0.99762639,0.99700116,1.0926279
-162.58079,0.93079869,0.10888843,2,3,0,165.64878,0.99898133,0.99810337,0.99718999,0.99831302,0.99803015,1.08913
-165.8704,0.77684143,0.10888843,4,23,0,167.26032,0.99811259,0.99819123,0.9983216,0.99817231,0.99844454,1.0167304
-165.77867,0.90092873,0.10888843,3,7,0,169.53814,0.99896192,0.99844299,0.99905654,0.99842585,0.99917135,1.0146763
-163.40887,0.99026228,0.10888843,3,7,0,166.63133,0.99952325,0.99829062,0.99888496,0.99838105,0.99833884,1.0133165
-164.27816,0.52366278,0.10888843,2,3,0,170.75113,0.99923179,0.99840646,0.99834998,0.99967344,0.99854002,1.0236956
-166.05033,0.96752679,0.10888843,3,15,0,169.15867,1.0016334,1.0004302,0.99988012,0.99945021,1.0001294,1.0371642
-167.54212,0.64813359,0.10888843,2,7,0,173.17829,1.0005702,1.0001124,0.99903596,1.001239,0.99907506,1.0389945
-167.98723,0.92212706,0.10888843,4,31,0,172.89293,0.99956295,1.0005577,0.9992372,1.0004818,0.99917563,1.1713886
-166.63221,0.99197023,0.10888843,3,15,0,170.23844,1.0008193,0.99819488,0.99785588,0.99849561,0.99901938,1.143228
