# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = eight_schools_centered_model
# start_datetime = 2026-08-20 13:55:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /home/m0hawk/Documents/apin/stan/data/eight_schools_centered.json
# init = 2 (Default)
# random
#   seed = 20261819
# output
#   file = /home/m0hawk/Documents/apin/stan/runs/march_native/eight_schools_centered/rep1/chain_0.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = /home/m0hawk/Documents/apin/stan/build/eight_schools_centered__march_native/model.hpp
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,mu,tau
# Adaptation terminated
# Step size = 0.0508162
# Diagonal elements of inverse mass matrix:
# 42.389, 25.0129, 34.7755, 31.6564, 32.6934, 27.129, 30.8685, 39.0474, 11.8129, 0.423112
-14.155039,0.99929342,0.050816236,5,47,0,19.924049,9.2141221,6.9313286,3.2494225,2.9114385,7.4589232,4.8634234,10.061137,6.3494709,7.3281153,2.2206962
-13.400492,0.99348398,0.050816236,5,31,0,20.015653,9.5203399,6.6566747,5.5396898,4.0048484,6.828776,5.0109898,8.3475365,8.1749176,8.321357,2.4374793
-13.987669,0.99751322,0.050816236,5,63,0,16.82785,5.4119088,5.4117271,0.991791,8.7199536,2.445882,7.0701897,7.1809053,5.5004829,3.8723429,3.3295941
-13.653201,0.99629539,0.050816236,5,63,0,21.652764,12.201605,8.1832659,10.812355,8.5911041,7.2861427,11.618482,8.9466035,8.2027057,8.4809292,3.1708616
-8.4032276,0.99555893,0.050816236,5,31,0,16.092074,7.6678485,8.6285731,7.7866681,8.0955957,8.7012692,6.3596391,7.9825165,8.9469924,7.1607962,1.1691289
-11.103249,0.99580422,0.050816236,4,15,0,13.730523,6.3596659,8.45248,8.2938648,8.6996802,9.7766719,5.1988397,6.961523,9.329065,7.9438504,1.2535794
-9.1428057,0.97797955,0.050816236,4,15,0,17.81995,6.8664538,7.8335658,6.9158767,7.5989633,9.713691,5.6238939,7.8769199,8.5953899,8.0063046,1.2485444
-11.966241,0.94484396,0.050816236,4,31,0,15.646872,9.061466,7.2721921,7.7617995,7.0802104,3.6984202,7.1536062,8.9669549,5.2647522,8.0512461,2.1087566
-13.338853,0.99178957,0.050816236,5,31,0,17.887194,11.552848,9.2038102,8.0607755,8.8080032,10.222809,8.4547753,8.2434809,8.8614934,10.348205,2.8252419
-9.4613214,0.99823465,0.050816236,5,31,0,14.518993,10.737713,7.2492054,8.1738634,8.4032326,8.6155017,7.9168358,9.3666753,9.5278886,7.9142855,1.6295011
-7.7835322,0.97915673,0.050816236,6,111,0,15.950939,6.2209518,4.6594076,6.0910531,5.1645107,5.0924323,4.9551789,5.4053995,7.1351924,5.2376002,0.57673957
-5.490966,1,0.050816236,2,3,0,8.4543466,5.7469107,4.5093592,6.0429187,5.0864953,5.1819972,4.8692387,5.4558211,6.9681375,5.4205565,0.57880288
-5.0571389,0.96974539,0.050816236,3,7,0,10.36784,4.0497771,5.1116638,5.3316089,4.5643827,5.4785543,5.5752715,4.9009125,3.5119778,4.9729019,0.62058801
-2.4844144,1,0.050816236,3,7,0,6.7574185,4.9585453,5.0578784,4.5334065,4.6639467,5.091609,5.5089182,4.1129077,4.1657667,4.550108,0.6461512
-4.4464042,0.94929595,0.050816236,3,15,0,8.1611005,3.6489905,5.1846045,4.8193423,3.6926286,3.5780181,4.5233635,5.3658116,4.2552539,4.3622904,0.56920569
-3.2938839,1,0.050816236,3,7,0,7.1509813,5.5175974,4.7254519,4.229654,5.4009108,4.7885478,4.1501871,3.6798698,4.6158674,4.5918565,0.60020637
-4.2217818,0.86111034,0.050816236,5,63,0,9.4042282,2.7431025,3.4400348,4.209476,2.9209374,3.5514196,4.1270289,4.8982502,3.5769428,3.621435,0.7261951
