# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = eight_schools_centered_model
# start_datetime = 2026-08-20 13:55:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /home/m0hawk/Documents/apin/stan/data/eight_schools_centered.json
# init = 2 (Default)
# random
#   seed = 20261819
# output
#   file = /home/m0hawk/Documents/apin/stan/runs/march_native/eight_schools_centered/rep1/chain_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = /home/m0hawk/Documents/apin/stan/build/eight_schools_centered__march_native/model.hpp
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,mu,tau
# Adaptation terminated
# Step size = 0.126357
# Diagonal elements of inverse mass matrix:
# 32.3579, 26.1549, 30.3443, 25.6727, 23.479, 25.393, 30.9119, 32.5633, 10.4863, 0.421256
-7.7565799,0.9270302,0.126357,3,7,0,9.5817627,2.3659441,4.4815461,1.7940269,2.6677068,2.6280127,3.0934207,4.9638235,1.8333202,3.2170539,1.19619
-9.1982578,0.8865376,0.126357,3,15,0,13.606109,4.5606932,4.4922715,2.4133794,0.26291776,2.9807269,3.4840539,4.478699,3.3863958,3.5054943,1.5222771
-10.00153,0.94845958,0.126357,3,7,0,12.388596,3.3845334,1.6744066,3.8474446,6.2355552,3.4609586,3.2781846,2.0303442,3.2486538,2.9157973,1.1604871
-12.183141,0.93073744,0.126357,4,15,0,17.407556,0.94440119,5.7301645,1.3222358,3.8079196,1.7733539,4.4247429,5.1498395,0.85910341,3.2531537,2.6780564
-12.13653,0.98151392,0.126357,4,15,0,15.303773,1.2245902,4.7865315,0.7650883,4.3094597,1.5982239,4.6165113,5.2484208,1.1056356,2.6183886,2.794279
-14.374394,0.98063813,0.126357,4,15,0,16.816135,6.474757,-0.26071145,0.2883435,6.166452,4.5500867,2.4289594,8.2608076,2.2216534,3.8439284,2.5781385
-16.747545,0.96140664,0.126357,4,15,0,19.068684,0.02807501,6.6936355,7.3542227,2.7639162,5.0113729,5.7442632,-1.1409046,2.4041018,3.996633,2.5261679
-14.818749,0.9980629,0.126357,4,15,0,21.822926,7.5385862,1.8789176,1.1386522,5.3693151,3.7830111,2.1483497,9.0108035,5.6468668,5.0486105,1.9193353
-17.30723,0.99710105,0.126357,4,31,0,21.685448,4.328674,10.781594,10.221144,8.00428,8.1337936,8.2232556,3.1955284,6.9982145,7.3214503,1.6140274
-17.431443,0.98673174,0.126357,4,31,0,23.785,12.200943,7.8465876,4.7442256,9.1084973,9.014016,7.5830004,13.926307,11.683157,8.8969006,1.7793861
-15.027141,0.9692009,0.126357,4,15,0,24.62301,9.9909597,9.2629167,5.2268659,6.5011813,11.31279,9.4123375,7.8431423,11.352375,9.9999254,2.0555055
-14.251193,0.99004334,0.126357,4,15,0,19.543915,11.262244,4.5022678,8.1600716,8.2480072,9.1124307,8.3087832,11.229896,7.1944515,7.6778989,3.7075865
-17.674723,0.98293602,0.126357,4,15,0,19.236741,8.8204066,2.2579875,2.6459893,12.540922,12.436823,8.530244,9.7249397,9.2210919,7.6535477,3.9894515
-13.276861,0.94397532,0.126357,4,15,0,26.636697,7.4693865,6.8688164,10.297408,9.0901772,9.001313,7.8437731,4.7415923,4.4749239,7.9212279,1.9929707
-14.667784,0.96405302,0.126357,5,39,0,18.946697,1.4732325,-1.9497489,2.4452089,1.8088737,-0.11256888,2.9414717,-1.0310348,-3.4380304,0.37534898,3.1843942
-16.542725,0.99304059,0.126357,3,15,0,20.154451,1.370327,-2.9015491,2.59734,4.3337504,1.2031364,-0.17149227,1.6427174,-4.8283366,0.94297349,4.2515462
