# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = garch11_model
# start_datetime = 2026-08-20 13:54:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /home/m0hawk/Documents/apin/stan/data/garch11.json
# init = 2 (Default)
# random
#   seed = 20260819
# output
#   file = /home/m0hawk/Documents/apin/stan/runs/march_native/garch11/rep0/chain_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = /home/m0hawk/Documents/apin/stan/build/garch11__march_native/model.hpp
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha0,alpha1,beta1
# Adaptation terminated
# Step size = 0.334311
# Diagonal elements of inverse mass matrix:
# 0.0162604, 0.154657, 0.33533, 1.56752
-273.64312,0.85020637,0.33431052,3,11,0,275.52786,4.7092839,1.1728289,0.30004002,0.58885848
-271.75659,0.88599047,0.33431052,3,7,0,274.1893,4.7616119,1.1020108,0.25714536,0.50141365
-268.47152,0.30442115,0.33431052,3,7,0,275.09407,4.9527817,0.97990326,0.35853156,0.5245873
-270.27075,0.9392115,0.33431052,4,15,0,273.4168,5.2203297,2.8982554,0.67220681,0.093472613
-269.36251,0.97822725,0.33431052,3,7,0,270.87937,5.2418556,2.3488845,0.66241072,0.08715848
-268.51082,0.99800092,0.33431052,4,15,0,271.28513,4.8486049,0.91137449,0.39043603,0.48301424
-268.35202,0.93330414,0.33431052,4,15,0,270.00798,5.1707636,1.5856978,0.7502031,0.19756253
-268.85438,0.96305915,0.33431052,3,7,0,269.75467,5.1864958,1.7358533,0.79800949,0.12486509
-269.00773,0.97350865,0.33431052,3,7,0,269.73613,5.2086158,1.5139603,0.78195314,0.13667951
-267.5644,0.99884951,0.33431052,3,7,0,270.40183,4.9187134,1.4599123,0.54466625,0.33975717
-267.55828,0.99922724,0.33431052,4,15,0,267.98968,5.1931982,1.6007423,0.5275668,0.28460566
-270.93753,0.95975105,0.33431052,4,15,0,273.90151,4.891684,0.6198776,0.48373062,0.50820031
-273.73666,0.99976324,0.33431052,4,15,0,274.78792,5.0305582,0.4184349,0.48520809,0.51412002
