# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = garch11_model
# start_datetime = 2026-08-20 13:55:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /home/m0hawk/Documents/apin/stan/data/garch11.json
# init = 2 (Default)
# random
#   seed = 20261819
# output
#   file = /home/m0hawk/Documents/apin/stan/runs/march_native/garch11/rep1/chain_0.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = /home/m0hawk/Documents/apin/stan/build/garch11__march_native/model.hpp
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha0,alpha1,beta1
# Adaptation terminated
# Step size = 0.259612
# Diagonal elements of inverse mass matrix:
# 0.0150492, 0.173699, 0.353004, 2.31826
-267.13056,0.99478325,0.25961154,4,15,0,267.59487,5.0297962,1.0333767,0.42056864,0.44001198
-267.26548,0.96289416,0.25961154,3,7,0,268.47765,5.0343523,0.93341955,0.43588615,0.45680817
-268.2446,0.92669069,0.25961154,3,7,0,269.1072,5.0349334,0.90276287,0.39532486,0.4169121
-268.73064,0.87973257,0.25961154,4,15,0,269.55217,4.947659,0.8257848,0.60024966,0.36998787
-271.31937,0.80737132,0.25961154,2,3,0,272.70474,4.8795461,0.7603128,0.65105397,0.3331644
-270.5112,0.99415781,0.25961154,3,7,0,272.17222,4.998583,1.4375997,0.57059692,0.4062006
-271.39391,0.98944195,0.25961154,3,15,0,274.49381,5.0371253,0.49689047,0.5586018,0.43676191
-268.90473,0.93359573,0.25961154,3,15,0,274.03097,5.0249627,1.2599468,0.6498586,0.33306236
-268.2533,0.99828308,0.25961154,3,7,0,269.55525,5.0257804,0.78395457,0.59434584,0.36985127
-267.9719,0.99862703,0.25961154,3,7,0,268.47998,5.0446661,0.79440364,0.54628497,0.41894158
-268.62511,0.97966213,0.25961154,4,15,0,270.51383,5.1093392,2.4267318,0.59266824,0.086262871
-268.24416,0.99709047,0.25961154,3,7,0,269.29698,5.054099,2.5718994,0.4874571,0.15670919
-267.23103,0.99927978,0.25961154,3,7,0,268.68088,5.0159291,2.0437102,0.52839968,0.22408371
-267.50741,0.92466786,0.25961154,2,3,0,268.03991,5.008407,2.0894572,0.50584683,0.18313531
-267.99199,0.81063564,0.25961154,2,3,0,269.31586,5.0482044,2.4854988,0.52035507,0.16986986
-269.6443,0.83209898,0.25961154,4,15,0,271.27334,5.1545774,1.0609345,0.76593896,0.20632725
-267.74254,1,0.25961154,3,7,0,270.60804,5.1444916,1.2945184,0.70017906,0.21783432
-267.66,0.98289785,0.25961154,4,15,0,269.04232,5.1603904,1.7869567,0.6143518,0.16021255
-267.10777,0.99672096,0.25961154,4,15,0,267.99056,5.0641297,1.0349002,0.58048688,0.32171614
-266.97579,0.95433484,0.25961154,3,7,0,267.63187,5.0659117,1.1021943,0.58709761,0.32288578
-270.50639,0.76835761,0.25961154,3,15,0,274.10781,4.8961347,1.5321222,0.4999995,0.4332217
-268.48996,0.95513437,0.25961154,2,3,0,271.23249,4.9150177,1.0625736,0.6112334,0.28386444
-267.4678,0.8922086,0.25961154,2,7,0,270.83886,5.0233115,1.0175687,0.54133458,0.31648413
-270.25564,0.71504707,0.25961154,3,15,0,271.25457,4.9869269,0.76521944,0.49647095,0.49582073
-270.66157,0.94324356,0.25961154,3,11,0,271.97677,5.0884318,0.76067741,0.66706479,0.3283579
-268.66453,1,0.25961154,3,7,0,270.98899,5.1306189,0.83473599,0.5726519,0.40688949
-268.4571,0.9837089,0.25961154,4,15,0,269.94538,5.1204979,0.84386359,0.45557428,0.38235016
-267.59322,0.92517119,0.25961154,4,15,0,270.09757,4.9659304,1.5693979,0.4465883,0.27299372
-267.82849,0.870371,0.25961154,4,15,0,269.61021,5.1416547,1.2012387,0.68996684,0.23097618
-267.08121,0.86596306,0.25961154,4,15,0,272.08882,5.1061563,1.8053693,0.56456727,0.20206813
-266.77607,0.99622081,0.25961154,4,15,0,267.26955,5.0019766,1.4148623,0.51666691,0.33343645
-267.31265,0.77711045,0.25961154,2,7,0,269.6752,4.9713527,1.9567022,0.57090738,0.19335965
-269.4466,0.95140858,0.25961154,4,15,0,270.47523,5.261564,2.4483779,0.65695622,0.11706653
-268.43611,0.99518837,0.25961154,4,15,0,270.95461,5.1105417,1.1781236,0.71770628,0.25600839
-267.63647,0.99845062,0.25961154,4,15,0,269.38882,5.0742543,2.0041982,0.64521827,0.13264783
-270.18469,0.79586157,0.25961154,3,7,0,272.14185,5.3324566,1.2257635,0.65000554,0.22641389
-268.86939,0.99065634,0.25961154,3,7,0,270.67723,5.23169,1.7541719,0.65906111,0.25204074
-269.49094,0.99843954,0.25961154,4,15,0,270.72474,5.0628675,2.0088415,0.76420147,0.07085884
-269.3563,1,0.25961154,4,15,0,271.4143,5.0645984,2.9575254,0.60085582,0.076368829
-269.07333,1,0.25961154,4,15,0,269.89125,5.0779001,0.58886601,0.49264524,0.4820602
-273.01876,0.86667371,0.25961154,3,7,0,274.34891,5.1475309,0.3067999,0.45351916,0.50571245
-270.56362,0.89732871,0.25961154,4,31,0,278.81193,5.0277882,3.4147651,0.55124931,0.10176354
-271.56003,0.9993537,0.25961154,4,15,0,274.6225,5.2005812,0.51694457,0.56006684,0.43264755
-269.87833,0.99629814,0.25961154,3,7,0,273.06268,5.1785723,0.61487281,0.59171691,0.38152557
-271.71404,0.9159752,0.25961154,4,15,0,272.07764,5.1723597,0.52508426,0.61417243,0.34245041
-269.64598,0.98385961,0.25961154,4,15,0,274.80222,5.1473372,0.69219628,0.63659511,0.33556216
-269.28119,0.99621567,0.25961154,3,7,0,270.39498,5.1822927,0.73040097,0.55526289,0.42423587
-268.36148,0.98396737,0.25961154,3,7,0,271.35662,5.2366768,1.0538522,0.48458864,0.40137998
-270.91595,0.89156183,0.25961154,4,15,0,273.49051,4.8999381,2.0651573,0.77801872,0.075142092
-267.21093,1,0.25961154,3,7,0,271.28262,5.0210133,1.7314864,0.44708121,0.3202734
-268.09571,0.92163742,0.25961154,4,15,0,269.09757,5.2135271,1.2970788,0.64131052,0.22295131
-269.58171,0.95068748,0.25961154,4,15,0,270.15503,4.9435412,1.3137614,0.71877611,0.26651773
