# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = kidscore_momiq_model
# start_datetime = 2026-08-20 13:53:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /home/m0hawk/Documents/apin/stan/data/kidscore_momiq.json
# init = 2 (Default)
# random
#   seed = 20260819
# output
#   file = /home/m0hawk/Documents/apin/stan/runs/march_native/kidscore_momiq/rep0/chain_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = /home/m0hawk/Documents/apin/stan/build/kidscore_momiq__march_native/model.hpp
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,sigma
# Adaptation terminated
# Step size = 0.104052
# Diagonal elements of inverse mass matrix:
# 40.1418, 0.00401014, 0.001421
-1478.6892,0.99998707,0.10405229,5,31,0,1478.9097,31.762199,0.55063136,18.710443
-1480.486,0.6795725,0.10405229,2,7,0,1481.5735,30.682204,0.54430729,18.630989
-1478.4935,0.91020237,0.10405229,2,3,0,1481.2156,30.686856,0.56072913,18.67297
-1477.9869,0.99609964,0.10405229,5,31,0,1478.6434,23.6347,0.6326484,18.063165
-1477.9692,0.9573232,0.10405229,4,23,0,1478.4348,24.133788,0.62448724,18.361798
-1478.1339,0.95609304,0.10405229,4,27,0,1478.3612,26.506518,0.60871409,18.38029
-1478.8794,0.99333062,0.10405229,4,31,0,1482.6747,19.855627,0.67531047,18.582603
-1479.0976,0.88017693,0.10405229,2,3,0,1479.9674,19.348315,0.6645793,18.583816
-1479.5598,0.95689227,0.10405229,4,31,0,1482.8693,24.284696,0.63634861,19.031303
-1478.5629,0.92761818,0.10405229,5,31,0,1480.5573,18.973334,0.67536387,18.291106
-1478.2671,0.90952724,0.10405229,5,63,0,1479.273,28.411989,0.5779664,18.319868
-1478.1824,1,0.10405229,3,15,0,1478.5364,30.157532,0.56871189,18.341251
-1480.7561,0.70498831,0.10405229,5,31,0,1482.479,13.820709,0.71606248,18.21976
-1481.0066,0.99861798,0.10405229,5,31,0,1481.7992,16.614982,0.71311627,17.572352
-1480.3217,1,0.10405229,5,31,0,1481.7329,13.513556,0.72359269,18.273216
-1482.862,0.47756317,0.10405229,2,7,0,1487.3358,11.664512,0.73071065,18.114809
-1481.1381,0.6866788,0.10405229,2,7,0,1486.8702,11.305476,0.74547169,18.295274
-1478.8671,0.99904099,0.10405229,5,47,0,1482.5065,33.470289,0.53722149,17.952224
-1479.2867,0.9839811,0.10405229,5,31,0,1480.193,33.532387,0.53333558,18.905276
-1478.8406,0.99894818,0.10405229,5,31,0,1479.7413,29.565986,0.57255565,18.999769
-1479.8897,0.75908599,0.10405229,1,3,0,1480.1957,28.902972,0.56591007,18.973732
-1478.5762,0.99566285,0.10405229,2,7,0,1480.1711,29.651619,0.57413568,18.824887
-1480.9115,0.97299755,0.10405229,4,31,0,1481.8313,21.969511,0.65381161,19.714278
-1482.1844,0.99976665,0.10405229,4,15,0,1482.6494,24.268696,0.6291801,20.145775
-1482.0826,0.9999857,0.10405229,4,15,0,1482.2256,24.148788,0.62624236,20.143639
-1479.8987,0.97728765,0.10405229,5,31,0,1485.4495,21.137851,0.65265153,17.151455
-1480.2615,0.85767174,0.10405229,5,31,0,1481.2404,21.667498,0.64304346,19.45996
-1481.1962,0.96002449,0.10405229,5,63,0,1483.0889,39.214781,0.48390205,17.673776
-1478.2112,0.99068929,0.10405229,5,31,0,1483.2123,24.008797,0.63379814,18.087691
-1478.022,0.93882677,0.10405229,2,3,0,1478.5838,23.504246,0.63529436,18.105341
-1478.0095,0.99237436,0.10405229,5,47,0,1478.3856,27.969919,0.58757038,18.002931
-1479.4331,0.9449186,0.10405229,4,31,0,1480.2824,18.204364,0.67815485,18.872178
-1479.1866,0.99235488,0.10405229,5,31,0,1479.8302,29.999732,0.56059333,17.579254
-1478.7817,0.9924851,0.10405229,5,47,0,1480.1772,19.748147,0.66184516,18.112941
-1479.4305,0.61457254,0.10405229,4,23,0,1483.1935,30.806399,0.57372502,18.565368
-1479.0176,0.99443456,0.10405229,5,31,0,1479.6945,27.299858,0.58482329,18.784264
-1480.1193,0.92598504,0.10405229,5,31,0,1480.5085,32.159695,0.56234323,18.733374
-1480.4308,0.99773011,0.10405229,3,11,0,1482.0049,30.547482,0.54788168,18.984848
-1478.6994,1,0.10405229,3,11,0,1481.0406,31.017327,0.56063529,18.796739
-1478.626,0.91591909,0.10405229,5,31,0,1479.3892,24.514108,0.61425548,17.782979
-1479.0562,0.96743789,0.10405229,5,31,0,1480.3342,33.577567,0.52730001,18.127355
-1480.5348,0.77218449,0.10405229,3,11,0,1481.2353,33.007056,0.55637634,18.201737
-1481.5695,0.99628285,0.10405229,5,63,0,1482.7212,17.443835,0.67464651,17.585965
-1479.0606,0.68754569,0.10405229,2,3,0,1483.4951,18.184631,0.68290354,17.744206
-1480.4895,0.9876373,0.10405229,4,15,0,1480.7514,18.123974,0.68596924,17.137555
-1481.1346,0.97994984,0.10405229,3,7,0,1481.2916,18.385337,0.68272145,16.944786
-1481.5211,0.98657163,0.10405229,3,7,0,1481.727,17.796883,0.68894979,16.889251
-1480.9404,0.78596619,0.10405229,4,15,0,1483.2129,17.667968,0.70394953,17.577417
-1480.2858,1,0.10405229,3,11,0,1481.3196,16.786262,0.68631688,17.809045
-1479.8017,0.99894746,0.10405229,4,31,0,1481.5203,21.608151,0.63970168,19.074336
-1479.6858,0.99407395,0.10405229,4,19,0,1481.5296,24.58165,0.60991623,17.475886
-1478.3112,0.99992652,0.10405229,5,63,0,1479.9826,20.478046,0.66132173,18.08579
-1478.1897,0.91999333,0.10405229,4,23,0,1479.0411,23.915177,0.62494652,18.587838
-1478.1144,0.9991079,0.10405229,4,15,0,1478.2338,24.171,0.62940177,18.512278
-1479.6749,0.83335093,0.10405229,4,23,0,1480.5099,26.926662,0.58521422,18.907093
-1479.7787,0.8753216,0.10405229,2,3,0,1480.9657,27.837871,0.60507943,18.787438
-1478.4496,0.99786147,0.10405229,3,15,0,1480.1108,26.651673,0.6106428,18.353205
-1479.4349,0.99467173,0.10405229,4,19,0,1480.0121,32.790739,0.53638534,17.54511
