# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = kidscore_momiq_model
# start_datetime = 2026-08-20 13:54:50 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /home/m0hawk/Documents/apin/stan/data/kidscore_momiq.json
# init = 2 (Default)
# random
#   seed = 20261819
# output
#   file = /home/m0hawk/Documents/apin/stan/runs/march_native/kidscore_momiq/rep1/chain_0.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = /home/m0hawk/Documents/apin/stan/build/kidscore_momiq__march_native/model.hpp
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,sigma
# Adaptation terminated
# Step size = 0.103585
# Diagonal elements of inverse mass matrix:
# 31.9426, 0.00313454, 0.00127953
-1478.212,0.99354695,0.10358491,4,27,0,1479.1185,27.337027,0.598796,18.608572
-1478.1127,0.98791612,0.10358491,4,19,0,1478.5976,27.534045,0.59815531,18.322933
-1478.2071,0.99962487,0.10358491,4,31,0,1479.0894,28.57617,0.57709264,18.222719
-1478.2567,0.99507661,0.10358491,4,27,0,1478.7147,26.328863,0.59836527,17.944443
-1477.9244,0.95723781,0.10358491,4,23,0,1479.1277,24.564701,0.62218279,18.344985
-1478.3751,0.89696735,0.10358491,3,11,0,1478.9649,25.050761,0.60878889,18.290917
-1478.4036,1,0.10358491,4,27,0,1479.0551,24.490097,0.63133681,18.324933
-1477.9694,0.94813956,0.10358491,2,3,0,1478.7308,24.080003,0.6247774,18.339327
-1477.975,0.91522614,0.10358491,4,23,0,1479.5045,23.381671,0.63390394,18.106233
-1478.3439,0.95031155,0.10358491,5,63,0,1478.8765,26.140393,0.60192243,17.729919
-1480.0347,0.99888758,0.10358491,5,31,0,1480.4105,28.444877,0.58602712,17.031864
-1480.7911,0.78330654,0.10358491,2,7,0,1481.9917,27.963411,0.57707614,17.095079
-1480.5248,1,0.10358491,1,1,0,1480.8606,28.031168,0.57809576,17.093036
-1480.3931,0.98976227,0.10358491,3,11,0,1481.7015,28.881329,0.57923254,16.942086
-1481.2423,0.96060115,0.10358491,4,15,0,1482.5715,24.671876,0.61498942,16.777809
-1482.3614,0.96247175,0.10358491,4,15,0,1483.1254,26.025725,0.60281575,16.536312
-1482.3785,0.87397852,0.10358491,2,3,0,1483.3774,25.603018,0.60475718,16.571957
-1478.7076,0.7171498,0.10358491,5,31,0,1485.205,20.929854,0.649327,18.080723
-1479.2635,0.95827908,0.10358491,5,31,0,1481.3178,30.320923,0.5665309,17.34149
-1479.3405,0.98917691,0.10358491,4,15,0,1480.0444,32.172183,0.5443549,17.472793
-1479.6277,0.96166623,0.10358491,5,31,0,1480.3578,34.651147,0.51862696,17.669962
-1478.7036,0.99967716,0.10358491,5,63,0,1480.5617,22.19567,0.64590075,18.931521
-1479.9466,0.89274426,0.10358491,5,47,0,1481.3488,18.241365,0.67144211,18.697838
-1480.5634,0.99207972,0.10358491,3,15,0,1483.0632,14.665429,0.71397566,19.072425
-1479.6883,0.97361623,0.10358491,5,55,0,1481.7605,21.990056,0.65186295,17.21202
-1478.6204,0.99482775,0.10358491,5,31,0,1480.9983,26.091931,0.61150734,17.546352
-1479.5688,0.83762707,0.10358491,1,3,0,1479.6197,26.454081,0.61591129,17.553656
-1478.9834,1,0.10358491,4,25,0,1480.8359,20.588392,0.65063133,18.322363
-1480.2338,0.99310789,0.10358491,5,41,0,1480.9637,37.625392,0.50135807,18.159027
-1480.3049,1,0.10358491,3,15,0,1481.9032,38.222777,0.48430934,18.019679
-1480.4579,0.89095959,0.10358491,2,7,0,1481.4035,39.061319,0.47966321,18.08833
-1480.9347,0.91457665,0.10358491,2,7,0,1481.3547,38.102956,0.47829143,18.156686
-1479.2705,0.87183521,0.10358491,5,39,0,1484.9136,25.035901,0.60304778,18.224718
-1479.3086,1,0.10358491,4,27,0,1480.2185,27.842288,0.57618921,18.538813
-1478.437,0.84168368,0.10358491,3,15,0,1482.4389,31.224088,0.5539704,18.472894
-1479.3181,0.87347767,0.10358491,2,7,0,1479.7507,30.732961,0.54912409,18.42219
-1478.5874,0.95434392,0.10358491,2,3,0,1479.8427,31.230863,0.55061056,18.37551
-1478.4806,0.9499151,0.10358491,5,39,0,1479.9411,22.009227,0.64060551,18.530731
-1478.7597,0.99799796,0.10358491,5,31,0,1478.9497,31.047382,0.56474252,17.811266
-1479.751,0.92627537,0.10358491,3,15,0,1483.0603,31.388619,0.54883032,17.337427
-1479.5194,0.99682194,0.10358491,5,31,0,1480.5287,20.799818,0.65252924,19.147138
-1478.8591,0.99998322,0.10358491,5,31,0,1479.8746,19.56111,0.67782878,17.952148
-1478.4507,0.99934916,0.10358491,4,31,0,1481.7389,29.563092,0.56886065,17.792472
-1479.3153,0.93214559,0.10358491,5,31,0,1479.6166,30.945078,0.5496324,18.806899
-1478.6975,0.9917252,0.10358491,5,31,0,1479.6641,26.951357,0.60932549,18.430802
