# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = logmesquite_logvash_model
# start_datetime = 2026-08-20 13:53:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /home/m0hawk/Documents/apin/stan/data/logmesquite_logvash.json
# init = 2 (Default)
# random
#   seed = 20260819
# output
#   file = /home/m0hawk/Documents/apin/stan/runs/march_native/logmesquite_logvash/rep0/chain_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = /home/m0hawk/Documents/apin/stan/build/logmesquite_logvash__march_native/model.hpp
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,sigma
# Adaptation terminated
# Step size = 0.0685881
# Diagonal elements of inverse mass matrix:
# 0.0279205, 0.0802627, 0.0905611, 0.0496156, 0.0942636, 0.015241, 0.0143199
28.399525,0.98046525,0.068588119,5,31,0,-25.612338,5.3901698,0.55649031,0.20443,-0.29826448,0.42150268,-0.70531246,0.33777542
28.029796,0.99383848,0.068588119,6,63,0,-26.680827,5.4288662,0.47678119,0.35139504,-0.57734536,0.38770488,-0.69378359,0.35567195
28.031066,0.87892591,0.068588119,5,63,0,-24.105258,5.3074184,0.49786551,0.18419388,-0.22832849,0.44383455,-0.39502721,0.33746079
27.642785,0.98180622,0.068588119,6,63,0,-23.502554,5.4510151,0.4127284,0.25611195,-0.4325049,0.3607511,-0.41429729,0.3419612
26.036725,0.99798597,0.068588119,5,31,0,-23.912462,5.125577,0.4702374,0.46967647,-0.076004039,0.43256731,-0.69263308,0.29919519
28.401154,1,0.068588119,5,63,0,-24.010946,5.2560153,0.15944706,0.66414861,-0.2123029,0.6902057,-0.6343637,0.3218972
27.969992,0.76068991,0.068588119,5,63,0,-23.655651,5.2229332,0.25415414,0.49930797,-0.220422,0.63230525,-0.61011339,0.34542621
26.358576,0.98914684,0.068588119,5,63,0,-23.904339,5.4704748,0.67608133,0.24219291,-0.42814085,0.14247555,-0.77811401,0.33262025
28.5303,0.99454974,0.068588119,4,31,0,-22.743811,5.4515294,0.6934284,0.11612613,-0.49954631,0.051052983,-0.57047676,0.34721459
25.113553,0.92816214,0.068588119,6,63,0,-22.953621,5.4813567,0.35327175,0.37424338,-0.43459895,0.62587354,-0.83729275,0.32567899
26.045503,0.9688637,0.068588119,5,31,0,-21.872708,5.2506643,0.58166261,0.33438462,-0.35528006,-0.031278132,-0.55883228,0.35159905
25.360039,0.85798016,0.068588119,6,63,0,-22.182663,5.1487114,0.59213967,0.24876755,-0.23182396,0.5272671,-0.44949191,0.32616848
24.493726,0.99114687,0.068588119,5,31,0,-15.790106,5.5271116,0.33914481,0.43703711,-0.88543501,0.35570686,-0.65200481,0.30949082
23.487765,0.99681185,0.068588119,6,63,0,-20.007402,4.9188465,0.52754732,0.31172389,0.1919441,0.37989039,-0.37452425,0.34160855
25.395016,0.95954245,0.068588119,6,63,0,-19.574254,5.1918551,0.45190307,0.18429743,0.0044200282,0.66444952,-0.40293009,0.36682811
27.951767,0.99676524,0.068588119,5,31,0,-24.826661,5.1489332,0.35176593,0.51849322,-0.21010581,0.28266352,-0.36996397,0.34668987
24.09197,0.99905555,0.068588119,6,63,0,-21.730521,4.9484037,-0.36106854,1.141369,-0.075993748,1.3117133,-0.49862407,0.29920423
24.071624,0.85579432,0.068588119,5,31,0,-22.155702,4.9359415,-0.39566563,1.1695795,-0.16707924,1.2744911,-0.46960802,0.30836992
23.410677,0.86541022,0.068588119,6,63,0,-19.878276,5.0009481,-0.45986693,1.3187787,0.0060296347,0.95399938,-0.40732928,0.40906397
22.254428,0.94493006,0.068588119,5,31,0,-19.39524,4.910682,-0.40110716,1.4308145,-0.1345648,0.83255177,-0.48173896,0.39116557
21.148281,0.99825103,0.068588119,6,63,0,-18.618326,5.0289258,-0.51946449,1.1647467,-0.18059099,1.1593507,-0.14596084,0.41201932
21.933958,0.90246915,0.068588119,5,31,0,-17.242327,4.9554813,-0.16221683,0.94707991,-0.12841429,1.2517512,-0.27425883,0.39418874
23.755424,0.98821851,0.068588119,6,63,0,-18.616161,5.0125336,0.11085305,0.64006364,0.021346628,1.0240857,-0.29332414,0.33666778
23.206974,0.99234711,0.068588119,6,63,0,-20.326741,5.53254,0.81673908,-0.15610024,-0.52876029,0.60866743,-0.86257749,0.36294765
25.492057,0.99971168,0.068588119,5,63,0,-19.995949,5.6400464,0.99973314,-0.24342085,-0.4697404,-0.053919451,-0.71570585,0.40038066
28.415378,0.99837873,0.068588119,6,63,0,-21.361919,5.2788842,0.55114767,0.32784157,-0.34779037,0.10048999,-0.48173894,0.30496367
28.682317,0.98516461,0.068588119,5,47,0,-26.92485,5.5339384,0.47781185,0.23583009,-0.54083602,0.39252661,-0.57433696,0.33644066
28.976758,0.99298391,0.068588119,5,63,0,-26.906584,5.4362281,0.50916091,0.22089378,-0.44826088,0.54502309,-0.66144921,0.31733365
28.275969,0.98550397,0.068588119,6,63,0,-26.563666,5.4633905,0.64839375,0.077007673,-0.47620182,0.3046271,-0.56923128,0.37019763
