# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = logmesquite_logvash_model
# start_datetime = 2026-08-20 13:56:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /home/m0hawk/Documents/apin/stan/data/logmesquite_logvash.json
# init = 2 (Default)
# random
#   seed = 20262819
# output
#   file = /home/m0hawk/Documents/apin/stan/runs/march_native/logmesquite_logvash/rep2/chain_0.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = /home/m0hawk/Documents/apin/stan/build/logmesquite_logvash__march_native/model.hpp
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,sigma
# Adaptation terminated
# Step size = 0.0776739
# Diagonal elements of inverse mass matrix:
# 0.0244114, 0.082022, 0.0864559, 0.0502763, 0.112089, 0.013007, 0.0120093
24.950986,0.99461482,0.0776739,5,31,0,-19.147629,5.7828235,1.0298698,-0.39465043,-0.75712862,0.089723311,-0.65696651,0.33316279
25.400181,0.89715889,0.0776739,5,63,0,-21.025965,5.3597595,0.87344928,0.096752735,-0.28246872,-0.34751664,-0.67772148,0.35892884
27.508559,0.97797989,0.0776739,5,63,0,-22.030878,5.1947089,0.23929971,0.50346076,-0.36711186,0.83430161,-0.58539811,0.31002965
26.77224,0.99994671,0.0776739,5,31,0,-25.359248,5.290252,0.15395216,0.69283229,-0.13993765,0.3736323,-0.63779559,0.30996995
27.555046,0.99836785,0.0776739,5,31,0,-24.752974,5.3594708,0.47239496,0.23519864,-0.13257434,0.5285772,-0.53938354,0.32475627
27.820509,0.98891142,0.0776739,4,31,0,-21.881542,5.1730006,0.6267996,0.22921558,-0.10011054,0.32882753,-0.56608864,0.35448781
27.506434,0.99390408,0.0776739,5,63,0,-22.682326,5.5391333,0.50439535,0.29747085,-0.48416901,0.23924049,-0.73810035,0.35756511
25.035722,0.94007431,0.0776739,5,63,0,-22.960495,5.5140607,0.60072124,0.23039115,-0.70312821,0.002527695,-0.40230542,0.36859764
26.739876,0.9979418,0.0776739,6,63,0,-23.743852,5.467063,0.54282527,0.18969491,-0.53584741,0.28826593,-0.39638579,0.38077371
26.983183,0.97320238,0.0776739,5,63,0,-23.520246,5.3665937,0.28853364,0.66765721,-0.44554916,0.13793239,-0.60989689,0.33634102
26.909068,0.95709499,0.0776739,5,31,0,-22.629338,5.4869954,0.21968073,0.55670244,-0.69343775,0.53784697,-0.52190169,0.32351347
27.524869,0.99787571,0.0776739,5,31,0,-24.404892,5.4903124,0.23508049,0.45570484,-0.63705219,0.50320249,-0.5608962,0.32961049
25.342299,0.92709468,0.0776739,6,63,0,-21.778381,5.1636014,-0.056351854,0.96784741,-0.057888072,0.62184049,-0.53039232,0.36584432
25.948524,0.91552138,0.0776739,5,63,0,-22.304464,5.1714885,-0.056482795,0.95146346,-0.40452681,0.5851873,-0.46963833,0.39775234
26.28171,0.9900553,0.0776739,6,63,0,-24.042814,5.2426889,0.55861528,0.19235907,-0.28275265,0.52120573,-0.53182234,0.26338996
27.493626,0.9996936,0.0776739,5,63,0,-24.648399,5.4752049,0.71242659,0.18448471,-0.51180443,-0.15025378,-0.63635836,0.34870909
27.630546,0.90040044,0.0776739,5,63,0,-24.677726,5.3372176,0.58708578,0.15484643,-0.11789328,0.29842622,-0.45377001,0.35836755
26.858308,0.73478936,0.0776739,5,63,0,-23.697457,5.31029,0.37169932,0.42003307,-0.49174906,0.21753617,-0.43602223,0.33984802
27.438289,0.99828362,0.0776739,5,63,0,-25.539719,5.5339459,0.55385019,0.21702829,-0.48186184,0.3373347,-0.58816719,0.34227979
26.700375,0.97258768,0.0776739,6,63,0,-25.836754,5.1285953,0.2013092,0.53136865,-0.029537194,0.63511004,-0.48731507,0.3684281
25.513904,0.88539024,0.0776739,5,31,0,-20.810353,4.9131091,0.24647156,0.5909807,0.22881247,0.70046545,-0.50444331,0.35167385
27.996837,1,0.0776739,5,31,0,-24.251339,5.235751,0.32831235,0.46750786,-0.1728141,0.26720707,-0.36211346,0.35241152
26.263353,0.75939798,0.0776739,5,63,0,-22.328658,5.2567807,0.61554832,0.058661876,-0.1982902,0.61231936,-0.5213741,0.37978025
27.249029,0.99299636,0.0776739,5,63,0,-22.723884,5.3731627,0.72408587,0.033313781,-0.12606995,0.29300657,-0.64077066,0.36507037
27.618395,0.99978801,0.0776739,5,63,0,-26.126361,5.381841,0.88273673,-0.080257892,-0.30975917,0.18047615,-0.65806009,0.34051095
26.802582,0.89815915,0.0776739,5,31,0,-24.662557,5.643635,0.58031934,0.12778005,-0.67672679,0.13940284,-0.63004373,0.31056108
26.970219,0.83386551,0.0776739,6,63,0,-24.047908,5.4521339,0.84416066,-0.034228203,-0.2642632,0.10679105,-0.57012891,0.36039268
26.581502,0.97812306,0.0776739,5,31,0,-23.114354,5.4161541,0.89834425,-0.011027313,-0.32597985,-0.064816647,-0.74399173,0.30263738
25.711316,0.96861605,0.0776739,5,31,0,-22.854913,5.588173,0.57123155,0.29414843,-0.48933592,-0.13618964,-0.71155939,0.31482002
25.757185,0.76853725,0.0776739,5,31,0,-22.083802,5.5303916,0.82072174,-0.13235251,-0.70624615,0.4457156,-0.59009874,0.33251684
