# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = lotka_volterra_model
# start_datetime = 2026-08-20 13:55:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /home/m0hawk/Documents/apin/stan/data/lotka_volterra.json
# init = 2 (Default)
# random
#   seed = 20261819
# output
#   file = /home/m0hawk/Documents/apin/stan/runs/march_native/lotka_volterra/rep1/chain_0.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = /home/m0hawk/Documents/apin/stan/build/lotka_volterra__march_native/model.hpp
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta.1,theta.2,theta.3,theta.4,z_init.1,z_init.2,sigma.1,sigma.2,z.1.1,z.2.1,z.3.1,z.4.1,z.5.1,z.6.1,z.7.1,z.8.1,z.9.1,z.10.1,z.11.1,z.12.1,z.13.1,z.14.1,z.15.1,z.16.1,z.17.1,z.18.1,z.19.1,z.20.1,z.1.2,z.2.2,z.3.2,z.4.2,z.5.2,z.6.2,z.7.2,z.8.2,z.9.2,z.10.2,z.11.2,z.12.2,z.13.2,z.14.2,z.15.2,z.16.2,z.17.2,z.18.2,z.19.2,z.20.2,y_init_rep.1,y_init_rep.2,y_rep.1.1,y_rep.2.1,y_rep.3.1,y_rep.4.1,y_rep.5.1,y_rep.6.1,y_rep.7.1,y_rep.8.1,y_rep.9.1,y_rep.10.1,y_rep.11.1,y_rep.12.1,y_rep.13.1,y_rep.14.1,y_rep.15.1,y_rep.16.1,y_rep.17.1,y_rep.18.1,y_rep.19.1,y_rep.20.1,y_rep.1.2,y_rep.2.2,y_rep.3.2,y_rep.4.2,y_rep.5.2,y_rep.6.2,y_rep.7.2,y_rep.8.2,y_rep.9.2,y_rep.10.2,y_rep.11.2,y_rep.12.2,y_rep.13.2,y_rep.14.2,y_rep.15.2,y_rep.16.2,y_rep.17.2,y_rep.18.2,y_rep.19.2,y_rep.20.2
# Adaptation terminated
# Step size = 0.103702
# Diagonal elements of inverse mass matrix:
# 0.0155723, 0.0256111, 0.0150676, 0.0266599, 0.00873739, 0.00822588, 0.0295613, 0.0258852
-13.618632,0.88109995,0.10370225,4,31,0,17.930077,0.5160636,0.026914268,0.82072527,0.024311359,38.541172,5.421434,0.27169043,0.26945975,54.738263,69.339083,61.303793,32.259262,17.034351,12.939089,13.391335,16.709652,23.034035,33.186837,47.847148,64.638782,68.794056,43.434552,21.206332,13.824611,12.832769,15.045025,20.088014,28.586043,7.3657956,14.922324,34.48857,47.137637,36.527156,22.838382,13.753828,8.6788885,6.1501126,5.3141118,6.2073836,10.760056,25.292292,45.388423,42.212639,27.885236,16.833344,10.339464,6.9313004,5.4685909,62.990287,5.6545966,72.287593,63.967122,93.557467,46.512388,24.172745,12.589185,13.90317,20.386118,19.334822,41.131902,42.996105,79.450219,41.224091,61.328734,30.287746,13.090187,10.357736,15.036142,31.031413,23.052034,6.3226973,23.07794,29.829455,72.162686,48.824807,27.41203,16.94395,12.408977,7.9751319,5.7509989,9.882801,16.167466,19.84234,22.858579,53.713418,21.315712,10.820692,10.799549,4.3625803,4.6612181
-11.673504,0.97054514,0.10370225,5,31,0,15.171882,0.56953912,0.029290104,0.76411419,0.024029383,32.952592,6.1316744,0.22062581,0.25735702,48.021391,63.546525,61.231786,34.648619,17.633929,12.513462,12.374691,15.172299,20.969108,30.640786,44.926329,61.215658,64.150585,39.669765,19.606575,12.965419,12.156532,14.438621,19.626005,28.494143,7.4936213,13.479311,29.906473,44.657498,37.704779,24.86112,15.50995,10.002417,7.1445292,6.1307997,7.015679,11.747297,26.030216,43.609919,40.007772,27.080086,16.929484,10.794108,7.5211085,6.1923125,42.119112,5.9953173,50.670038,47.297362,74.075656,51.733405,9.8475224,16.143767,9.6324039,17.231481,22.163597,47.383775,48.760077,60.77348,65.697198,39.676401,19.538881,11.507555,10.274,16.888852,24.928296,39.209655,8.5480036,11.786363,30.273259,40.821457,45.54936,25.573539,15.13531,13.068503,7.6037984,5.2176962,8.9846772,8.1300163,25.328833,68.445245,34.462554,24.968202,18.131719,7.9692842,6.241504,4.5389114
-11.584841,0.9303319,0.10370225,5,31,0,15.095349,0.51035792,0.025773101,0.82494221,0.026614726,31.599144,6.0323724,0.22938313,0.21989011,44.6045,58.367706,59.349454,37.349204,19.525432,13.453982,12.783703,15.04248,19.951448,28.031132,39.847302,54.159049,61.800073,45.958631,23.901199,14.663136,12.62654,13.992067,17.971367,24.898873,7.2348924,12.574068,27.816428,45.422959,41.077104,27.434403,16.914387,10.674281,7.4058011,6.097754,6.5397152,10.006694,21.261326,41.276866,44.710527,31.966386,19.945516,12.382733,8.2547505,6.3531534,40.993816,6.4637535,49.729991,48.1463,44.007388,32.637953,23.844823,13.281921,13.962341,22.263974,24.408043,43.462168,42.264909,35.714865,53.201135,48.150026,30.980357,13.397533,12.025191,12.030091,17.90107,32.895889,8.3028222,14.966722,31.042683,47.594718,46.897239,26.058884,12.776565,13.868974,7.4728195,7.800335,6.7180391,8.9311248,28.37585,34.145255,52.796377,35.216421,14.243158,9.7376453,8.2387449,7.2860587
-12.521088,0.94691215,0.10370225,4,31,0,16.111986,0.525805,0.02587986,0.80421847,0.025157337,34.262657,5.6681999,0.30894299,0.23538819,49.366497,64.836355,62.295798,34.622905,17.323417,12.273205,12.14018,14.805167,20.244829,29.213998,42.554609,59.028167,67.325559,46.836737,22.475199,13.528315,11.804549,13.370067,17.582199,24.948208,7.202689,13.707112,32.432984,49.789316,41.278331,26.39266,15.945008,9.9595501,6.8785416,5.685017,6.2142478,9.9664406,22.792913,45.459104,47.002093,32.310378,19.704301,12.03395,7.9004805,5.9902723,15.399727,8.2056296,50.598534,39.931291,44.501334,38.37867,18.248477,10.149191,8.1282069,13.524383,25.203586,25.248246,33.35618,55.051068,83.325645,30.7117,17.559727,13.175895,9.5542619,18.356062,13.83823,17.624961,9.3932392,18.25501,28.662674,35.135344,51.328847,18.909577,14.15331,8.4570653,9.1326502,6.5457281,6.7276452,9.1824814,22.493984,51.818994,31.709004,36.869424,28.822759,12.250401,12.805716,5.4087863
-14.665086,0.9332153,0.10370225,4,31,0,19.923579,0.42512593,0.018391282,1.0478313,0.032893671,31.871094,5.4778862,0.25457374,0.28908231,43.795208,56.978484,60.26842,39.291349,20.318523,14.28323,14.007872,16.7118,21.977916,30.132718,41.528622,54.897904,61.366029,43.860107,22.458745,14.769968,13.808318,16.061754,20.871671,28.490867,6.6135709,12.220876,31.191317,59.114442,52.91277,32.01509,17.700983,10.217573,6.7184642,5.5038875,6.2181461,10.650741,26.435506,55.936007,56.179274,35.338274,19.606345,11.157721,7.1291678,5.5837043,38.303649,5.5295054,51.592878,64.781084,49.900769,48.890883,14.763158,19.386552,14.044414,12.459674,31.767022,24.736676,41.913961,55.42618,66.425769,37.860651,15.962344,10.893896,18.802111,17.542464,18.527553,40.400344,8.7903063,20.098337,34.827197,59.254958,36.024145,27.379371,11.872987,11.180001,9.6336634,5.9143833,7.8756574,12.923521,17.782638,46.96028,71.196334,34.302018,14.572352,8.8805762,6.8418499,9.7345407
-15.815624,0.92050292,0.10370225,5,63,0,18.047756,0.41028594,0.020749287,0.99353811,0.032856359,33.710236,6.042183,0.25817567,0.31820523,44.138486,53.15289,50.308983,32.624187,19.531926,15.065253,15.027527,17.609891,22.469422,29.757865,39.45439,49.891248,53.842193,40.942256,23.924644,16.265813,14.665829,16.204113,20.068579,26.274982,8.0104518,14.872852,31.705884,46.575608,39.466616,25.365256,15.267253,9.602332,6.825012,5.918394,6.7920681,10.954548,23.095777,42.437401,44.677239,31.278095,19.038479,11.62581,7.7642198,6.1116952,23.894232,5.3401299,35.959197,63.274426,47.85457,42.084811,13.357,10.421239,17.248804,19.413337,19.493774,27.861826,52.276355,57.950321,66.763547,32.083559,31.890284,12.699099,15.138031,12.635547,15.606106,35.553017,13.001929,10.662658,25.572573,56.545493,46.516884,17.900643,14.51995,12.240543,8.2696502,5.7040865,5.6158464,15.263949,19.789116,30.675859,64.260362,22.438694,23.697958,17.002186,9.5945564,12.442582
