# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = lotka_volterra_model
# start_datetime = 2026-08-20 13:56:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /home/m0hawk/Documents/apin/stan/data/lotka_volterra.json
# init = 2 (Default)
# random
#   seed = 20262819
# output
#   file = /home/m0hawk/Documents/apin/stan/runs/march_native/lotka_volterra/rep2/chain_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = /home/m0hawk/Documents/apin/stan/build/lotka_volterra__march_native/model.hpp
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta.1,theta.2,theta.3,theta.4,z_init.1,z_init.2,sigma.1,sigma.2,z.1.1,z.2.1,z.3.1,z.4.1,z.5.1,z.6.1,z.7.1,z.8.1,z.9.1,z.10.1,z.11.1,z.12.1,z.13.1,z.14.1,z.15.1,z.16.1,z.17.1,z.18.1,z.19.1,z.20.1,z.1.2,z.2.2,z.3.2,z.4.2,z.5.2,z.6.2,z.7.2,z.8.2,z.9.2,z.10.2,z.11.2,z.12.2,z.13.2,z.14.2,z.15.2,z.16.2,z.17.2,z.18.2,z.19.2,z.20.2,y_init_rep.1,y_init_rep.2,y_rep.1.1,y_rep.2.1,y_rep.3.1,y_rep.4.1,y_rep.5.1,y_rep.6.1,y_rep.7.1,y_rep.8.1,y_rep.9.1,y_rep.10.1,y_rep.11.1,y_rep.12.1,y_rep.13.1,y_rep.14.1,y_rep.15.1,y_rep.16.1,y_rep.17.1,y_rep.18.1,y_rep.19.1,y_rep.20.1,y_rep.1.2,y_rep.2.2,y_rep.3.2,y_rep.4.2,y_rep.5.2,y_rep.6.2,y_rep.7.2,y_rep.8.2,y_rep.9.2,y_rep.10.2,y_rep.11.2,y_rep.12.2,y_rep.13.2,y_rep.14.2,y_rep.15.2,y_rep.16.2,y_rep.17.2,y_rep.18.2,y_rep.19.2,y_rep.20.2
# Adaptation terminated
# Step size = 0.107975
# Diagonal elements of inverse mass matrix:
# 0.0122982, 0.0201385, 0.0107239, 0.0187923, 0.00597355, 0.00783882, 0.0267106, 0.0256518
-13.311684,0.97618091,0.10797498,4,15,0,14.767669,0.46406623,0.021347641,0.93383667,0.027163347,35.731017,5.0464435,0.22468276,0.24178791,50.552343,66.786604,68.204252,39.944472,19.527627,13.650828,13.497798,16.374748,22.054395,31.131046,44.355822,60.903976,71.31599,52.405744,25.042911,14.931812,13.135045,14.943011,19.496366,27.163174,6.3454939,12.354564,32.479884,57.421056,48.360323,29.246509,16.483958,9.6612167,6.355155,5.1006215,5.5324417,9.0545724,22.284757,50.768289,55.039558,36.146541,20.57415,11.764961,7.3351657,5.3897281,43.167829,5.4463294,59.895635,56.30938,66.289693,47.899914,19.14049,20.218417,13.719515,27.89593,24.990098,47.86761,37.976885,45.472113,67.309431,47.335387,16.218211,15.739399,9.6395241,17.351529,23.679442,32.408232,5.8529732,11.250626,18.145138,68.17112,56.365852,33.82582,16.62878,8.2077914,5.5527249,6.159548,3.8784519,10.827038,18.559963,87.036749,48.342344,47.47468,17.554099,10.971982,10.363072,6.9547927
-13.344096,0.99622815,0.10797498,5,31,0,16.323546,0.47104563,0.021597002,0.94869736,0.027425479,35.543129,5.0532766,0.20765181,0.24567397,50.585584,67.183659,68.407651,39.294439,19.157604,13.60982,13.704557,16.875874,22.988188,32.714294,46.787535,63.759396,71.116451,46.67735,22.011357,14.19233,13.376832,15.902467,21.298339,30.119485,6.3148585,12.374306,33.013291,57.87376,47.646735,28.35763,15.838426,9.2682637,6.1543686,5.0693337,5.7793953,10.18816,26.437681,54.922481,52.056277,32.29943,18.079162,10.392056,6.6558203,5.1703416,33.909569,7.282096,43.624432,60.46055,55.967691,30.171172,34.399036,9.2593952,14.805822,15.146903,23.744756,58.615568,52.482786,63.764051,58.45447,48.579922,21.592692,19.268766,14.746187,17.464564,15.04341,27.507784,7.4923979,13.672343,26.569393,36.676586,36.663987,31.741813,11.618043,10.710972,7.8273575,5.565331,4.1201687,6.7873005,19.859545,40.074176,65.031832,28.852081,12.561414,8.1476716,6.2959837,5.4186015
-12.326423,0.93764283,0.10797498,5,63,0,16.660904,0.54124089,0.027714012,0.78147342,0.025891505,30.659759,6.2309728,0.27454689,0.2438517,43.847577,57.794128,58.231557,35.892087,18.606231,12.79034,12.160936,14.389534,19.284103,27.457792,39.541516,54.088345,60.831202,43.463363,22.256162,13.783103,12.00398,13.454537,17.509126,24.613514,7.4265773,12.771857,27.683922,43.925892,39.448695,26.670953,16.739141,10.745836,7.5591608,6.2858486,6.7915434,10.448678,22.005613,40.81611,42.584903,30.416859,19.266882,12.192615,8.2839483,6.4928794,20.370411,5.2764785,34.566529,60.623524,43.945451,44.837158,24.890358,8.8200357,9.0266968,18.606362,16.501883,28.743275,38.029845,59.04726,45.375375,48.694105,28.094357,12.191921,15.699573,14.181484,14.191646,21.758667,8.8791738,20.648404,17.377719,36.900352,37.306021,28.922679,30.041234,15.382968,5.0009997,11.08625,8.9796608,8.6323792,17.61053,54.832636,32.08561,19.036791,24.413135,13.900315,10.485014,4.7325266
-11.670245,0.93827234,0.10797498,5,31,0,18.984636,0.52739631,0.02719418,0.81937945,0.025908932,31.887126,5.7329318,0.23624128,0.29698854,45.785193,60.847944,61.844905,37.439779,18.944019,13.043655,12.572207,15.070568,20.3737,29.145372,42.080036,57.612788,64.238657,44.113269,21.927264,13.789873,12.375433,14.220003,18.801866,26.652198,6.8532187,12.106765,27.693495,45.41619,40.093185,26.278978,16.016217,10.040264,6.9559436,5.7732959,6.3434061,10.175436,22.715603,42.892421,43.029588,29.464569,18.062586,11.169161,7.502277,5.9102312,32.820173,4.7967466,54.88895,83.405632,63.426844,54.932598,16.973665,15.868983,10.521774,18.605856,22.359195,23.753916,53.878651,49.331707,58.130728,34.393441,15.996658,21.186869,10.598974,17.264015,19.433308,32.594529,4.6837673,12.44462,42.454232,72.081364,44.255749,23.330294,14.826608,9.9526443,5.5817733,8.1625032,5.8109408,10.268424,17.480204,74.24303,48.417318,26.65692,20.48792,10.514115,5.0889942,6.1597992
-12.835421,0.72627015,0.10797498,5,47,0,19.452286,0.56077004,0.028840056,0.80822575,0.025262801,30.745735,6.0170444,0.22384417,0.2635116,44.963911,61.049777,63.250594,38.280445,19.073112,13.06002,12.678196,15.430165,21.256821,30.983875,45.287405,61.319119,62.976278,37.732382,18.855856,13.011748,12.704196,15.513628,21.408647,31.222218,6.9126159,11.815538,26.816286,44.436688,39.397006,25.885897,15.844763,10.010747,7.0403639,6.012888,6.9576116,11.985835,27.239881,44.57345,39.139898,25.639998,15.69113,9.9273466,7.0021057,6.010017,33.066534,8.6013482,43.770495,41.299077,49.062042,51.136967,19.517129,14.332673,13.674981,12.225445,16.583001,28.494672,49.272077,57.502279,60.527807,50.283512,19.139389,10.27383,10.261818,16.572632,23.219043,27.815135,5.9255048,12.082784,22.821264,26.353887,48.915307,24.253167,17.872716,10.149804,9.1437407,6.0961369,5.6676996,8.2483771,26.187375,78.531184,48.512849,29.513348,13.86381,8.6440681,6.6147602,4.2732698
-14.589466,0.84237396,0.10797498,5,63,0,18.929275,0.49675753,0.024515642,0.8401859,0.02528017,39.259965,6.0135733,0.24817055,0.25755532,54.432327,66.654668,56.868418,30.540275,17.048288,13.417202,14.052353,17.481197,23.821012,33.755277,47.669186,62.7576,64.897451,41.164809,21.090531,14.256496,13.406282,15.680925,20.709301,29.008878,8.4438742,17.220324,37.803093,48.835339,37.316197,23.376484,14.186104,9.0705263,6.5538044,5.8077816,6.9623753,12.205921,27.884834,47.587224,43.58913,28.865341,17.532239,10.868508,7.3840889,5.9291262,33.681331,4.9446912,53.870932,66.956338,62.7881,24.851006,23.658109,12.971608,9.0224422,18.421241,35.715091,47.854802,59.06953,85.057029,49.577639,29.042617,16.266303,10.637,14.65432,22.301468,14.996135,31.853963,9.2521246,15.531264,28.906541,40.651823,59.753166,28.080151,12.102728,6.6825667,9.7349359,5.0946823,7.5343122,8.8002826,43.655445,46.628378,50.602294,24.592457,19.864898,14.10062,7.5852079,5.2146722
-15.250614,0.98056251,0.10797498,4,31,0,19.177376,0.50988352,0.024971137,0.83135251,0.021926524,41.999853,6.0520403,0.27141227,0.25492383,59.106316,75.005811,68.943646,38.632439,20.670061,15.447228,15.678261,19.237597,26.143651,37.188843,52.957137,70.700651,75.017754,48.82599,24.771991,16.376216,15.186672,17.683927,23.393412,32.935419,7.9333943,15.263601,34.334146,48.879361,39.457901,25.16742,15.31024,9.7208605,6.9151049,5.9787309,6.9374581,11.766057,26.608493,46.869408,44.205589,29.633995,18.087978,11.229134,7.6240879,6.1075193,35.560775,6.4765465,51.623964,62.018999,98.310124,34.793906,16.596589,13.975422,14.142567,15.554162,18.153533,26.28243,51.256789,74.595706,88.108163,75.652473,21.326101,18.757772,20.130741,16.632274,23.803606,39.449941,8.1404743,12.847998,35.956855,61.279568,31.240551,21.864706,20.388216,9.7769599,6.7661321,4.5643763,4.4159063,14.868296,28.418388,50.473735,48.608501,21.209596,18.309842,10.683212,13.278577,6.6158538
