# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = low_dim_gauss_mix_model
# start_datetime = 2026-08-20 13:54:46 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /home/m0hawk/Documents/apin/stan/data/low_dim_gauss_mix.json
# init = 2 (Default)
# random
#   seed = 20260819
# output
#   file = /home/m0hawk/Documents/apin/stan/runs/march_native/low_dim_gauss_mix/rep0/chain_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = /home/m0hawk/Documents/apin/stan/build/low_dim_gauss_mix__march_native/model.hpp
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,sigma.1,sigma.2,theta
# Adaptation terminated
# Step size = 0.606231
# Diagonal elements of inverse mass matrix:
# 0.00184471, 0.000162121, 0.000993745, 0.00164065, 0.00458267
-2106.3698,0.82724012,0.60623147,2,7,0,2107.6916,-2.6607855,2.9014298,1.0621658,1.0119359,0.62416287
-2107.1113,0.94037115,0.60623147,3,7,0,2108.5339,-2.6969272,2.768607,0.99879435,1.0451787,0.61326345
-2106.227,0.99960578,0.60623147,3,7,0,2107.9048,-2.7694018,2.9587527,1.0382115,1.0295389,0.62237431
-2106.2295,0.9790669,0.60623147,3,7,0,2108.4717,-2.6593702,2.8829836,1.0296874,0.98992529,0.61620226
-2105.2522,0.87578645,0.60623147,3,7,0,2110.8023,-2.7144547,2.8671304,1.0627293,0.9925992,0.62208818
-2105.3999,0.94306087,0.60623147,3,7,0,2106.4549,-2.742989,2.9264723,1.0490772,1.0427627,0.62342575
-2105.5582,0.9695905,0.60623147,3,7,0,2106.8819,-2.7294828,2.8495323,1.0219992,0.96912622,0.63003279
-2107.7292,0.82463579,0.60623147,3,7,0,2111.199,-2.7428595,2.8688701,1.0852737,0.95675666,0.60716822
-2104.9676,0.74935537,0.60623147,2,3,0,2110.4093,-2.759174,2.8977789,1.0455247,1.0326799,0.61913021
-2104.7667,0.95869003,0.60623147,3,7,0,2105.9258,-2.6985999,2.8637154,1.0312262,1.0259062,0.61952331
-2106.0604,0.80925433,0.60623147,2,3,0,2108.1701,-2.6981049,2.8437587,0.99397924,1.0550738,0.60919426
-2106.4992,0.85951269,0.60623147,2,7,0,2108.9598,-2.7851912,2.8248029,1.0574803,1.0430925,0.60829728
-2105.7777,0.98409827,0.60623147,3,7,0,2107.8481,-2.7187563,2.8783666,0.98960786,0.99784088,0.63341978
-2105.4987,0.95706922,0.60623147,2,7,0,2107.4802,-2.7807947,2.8814654,1.0351273,1.0577373,0.62010511
-2104.9115,0.90415574,0.60623147,3,7,0,2108.2232,-2.7246803,2.8281933,1.0212833,0.99962198,0.62360431
-2105.2342,0.98811879,0.60623147,3,7,0,2105.7762,-2.7672189,2.8537213,1.0478009,1.0226379,0.61100719
