# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = low_dim_gauss_mix_model
# start_datetime = 2026-08-20 13:55:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /home/m0hawk/Documents/apin/stan/data/low_dim_gauss_mix.json
# init = 2 (Default)
# random
#   seed = 20261819
# output
#   file = /home/m0hawk/Documents/apin/stan/runs/march_native/low_dim_gauss_mix/rep1/chain_0.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = /home/m0hawk/Documents/apin/stan/build/low_dim_gauss_mix__march_native/model.hpp
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,sigma.1,sigma.2,theta
# Adaptation terminated
# Step size = 0.707648
# Diagonal elements of inverse mass matrix:
# 0.00158787, 0.000138593, 0.000870224, 0.00164464, 0.00443228
-2106.6414,0.78627457,0.70764771,3,7,0,2108.9781,-2.7251155,2.8008069,1.0352794,1.0349699,0.59596753
-2105.2192,1,0.70764771,2,3,0,2106.7605,-2.7015185,2.8427868,1.0275671,1.037265,0.60906096
-2105.6401,0.97134199,0.70764771,2,7,0,2106.1498,-2.749499,2.9088851,1.0459472,0.97942231,0.63377447
-2104.9281,1,0.70764771,3,7,0,2105.9512,-2.7269936,2.8578546,1.042174,1.0394878,0.61057821
-2104.8621,0.95651845,0.70764771,3,7,0,2105.8326,-2.7295466,2.8797633,1.0109562,1.0067949,0.63250731
-2107.6178,0.84749933,0.70764771,3,7,0,2108.5386,-2.806397,2.9268612,1.0100549,0.99551946,0.63883708
-2109.0184,0.40909955,0.70764771,2,3,0,2112.6006,-2.806429,2.7981005,1.0482489,0.99710179,0.64906811
-2106.4144,0.99199148,0.70764771,2,7,0,2110.1722,-2.7298688,2.9533367,0.99237736,1.016751,0.61558145
-2105.2347,0.98796911,0.70764771,3,7,0,2106.8641,-2.7323193,2.9108848,1.0573972,1.0358413,0.62415118
-2105.2347,0.78729238,0.70764771,2,3,0,2108.2836,-2.7323193,2.9108848,1.0573972,1.0358413,0.62415118
-2107.7852,0.78783913,0.70764771,2,3,0,2108.6658,-2.7324677,2.7835784,1.00763,1.0158431,0.65049344
-2107.6924,0.9870308,0.70764771,3,7,0,2109.789,-2.7196102,2.906943,0.99924002,1.0577027,0.58844341
-2108.4847,0.92225024,0.70764771,3,7,0,2110.7775,-2.6827371,2.9591515,1.0326292,0.95522378,0.6428131
-2109.054,0.99131712,0.70764771,3,7,0,2110.2463,-2.7325555,2.7517982,1.0210917,1.1022529,0.59756349
-2109.7354,0.91529664,0.70764771,3,7,0,2113.63,-2.7041976,2.8971039,1.113936,1.0780116,0.61071933
