# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = wells_dist100_model_model
# start_datetime = 2026-08-20 13:53:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /home/m0hawk/Documents/apin/stan/data/wells_dist100_model.json
# init = 2 (Default)
# random
#   seed = 20260819
# output
#   file = /home/m0hawk/Documents/apin/stan/runs/march_native/wells_dist100_model/rep0/chain_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = /home/m0hawk/Documents/apin/stan/build/wells_dist100_model__march_native/model.hpp
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta.1
# Adaptation terminated
# Step size = 0.531633
# Diagonal elements of inverse mass matrix:
# 0.00283983, 0.00730017
-2039.3478,1,0.53163257,2,3,0,2041.1463,0.6072037,-0.52975023
-2041.2352,0.6053367,0.53163257,1,1,0,2041.3708,0.63382804,-0.51062031
-2040.2656,1,0.53163257,2,3,0,2041.4729,0.63643295,-0.54042901
-2038.9173,0.99406171,0.53163257,2,7,0,2040.9056,0.63322034,-0.72755993
-2038.8518,0.93626004,0.53163257,3,15,0,2039.6578,0.53844906,-0.56310876
-2038.59,1,0.53163257,1,1,0,2038.7935,0.54794434,-0.55487684
-2039.2838,0.98883649,0.53163257,3,11,0,2039.338,0.67980309,-0.77130867
-2039.1999,1,0.53163257,1,1,0,2039.2921,0.6817986,-0.76493378
-2038.7479,0.97569635,0.53163257,3,7,0,2040.0082,0.6422454,-0.72508316
-2039.3997,0.95187682,0.53163257,2,3,0,2039.4301,0.68517836,-0.66767366
-2038.7393,0.93206637,0.53163257,2,3,0,2040.0347,0.67269477,-0.69805562
-2038.3772,0.80256668,0.53163257,4,15,0,2040.3617,0.61575844,-0.59245489
-2038.4165,0.99025334,0.53163257,1,1,0,2038.4753,0.61554452,-0.58890032
-2041.5613,0.72802264,0.53163257,3,9,0,2043.7181,0.6575817,-0.83740711
-2038.7768,1,0.53163257,2,3,0,2041.2439,0.672908,-0.68932438
-2038.5404,0.97770395,0.53163257,3,7,0,2039.476,0.65201413,-0.71137456
-2038.9136,0.95191432,0.53163257,2,3,0,2039.0757,0.65666579,-0.74316874
-2040.8601,0.61210043,0.53163257,3,7,0,2042.355,0.62839849,-0.7896168
-2039.9423,0.99159408,0.53163257,2,5,0,2041.6376,0.72153892,-0.77378952
-2038.9775,0.9906603,0.53163257,2,3,0,2040.0189,0.68389755,-0.73566545
-2038.9656,0.99729811,0.53163257,2,3,0,2039.243,0.67559076,-0.74721741
-2038.275,0.96718222,0.53163257,2,7,0,2039.9823,0.57866297,-0.56757737
-2038.54,0.98838395,0.53163257,2,7,0,2038.8371,0.56347434,-0.53275609
-2038.3977,0.90189621,0.53163257,3,7,0,2039.9258,0.64156784,-0.69480533
-2039.0666,0.80444717,0.53163257,1,3,0,2039.5585,0.6625494,-0.63348655
-2038.8882,0.95562504,0.53163257,2,7,0,2039.8341,0.56182202,-0.62552327
-2038.8942,0.99756609,0.53163257,2,7,0,2039.7482,0.65829295,-0.63493331
-2040.1534,0.97949353,0.53163257,2,7,0,2041.484,0.48811715,-0.49999753
-2038.5574,0.9562543,0.53163257,2,7,0,2040.7476,0.54999952,-0.55738049
-2038.4749,0.99689521,0.53163257,4,15,0,2038.6374,0.55628227,-0.54810815
-2038.3961,0.96809474,0.53163257,4,15,0,2038.9913,0.60313473,-0.66281454
-2038.1342,0.9833332,0.53163257,2,3,0,2038.4745,0.61466032,-0.62702649
-2038.1665,0.99053179,0.53163257,2,7,0,2038.7788,0.59024334,-0.59200981
-2038.9058,0.83448579,0.53163257,2,3,0,2039.1336,0.62147392,-0.56815887
-2039.4014,0.65036574,0.53163257,2,3,0,2043.3976,0.51565454,-0.54013945
-2038.2005,1,0.53163257,3,9,0,2039.2799,0.61286253,-0.60748286
-2038.4964,0.97387791,0.53163257,2,7,0,2039.1384,0.65843559,-0.68728314
-2038.4904,0.98626947,0.53163257,2,3,0,2038.578,0.64910644,-0.705901
-2039.037,0.9740195,0.53163257,2,7,0,2040.4564,0.53442746,-0.49212706
-2038.9818,1,0.53163257,2,3,0,2039.1298,0.52806879,-0.50958794
-2038.2163,0.78693573,0.53163257,2,5,0,2040.2142,0.58286953,-0.57937566
-2038.1814,0.99884943,0.53163257,1,3,0,2038.2402,0.58472096,-0.59310751
-2039.1107,0.9619501,0.53163257,2,7,0,2039.6422,0.53906306,-0.48522222
-2039.1107,0.74113618,0.53163257,1,3,0,2040.6148,0.53906306,-0.48522222
-2038.7341,0.98231181,0.53163257,2,7,0,2040.9322,0.65595545,-0.73008343
-2038.1366,0.9934352,0.53163257,4,15,0,2038.7926,0.6034647,-0.60770864
-2040.7849,0.64466203,0.53163257,2,7,0,2042.446,0.70266817,-0.64508131
-2040.7849,0.69142224,0.53163257,1,1,0,2042.1702,0.70266817,-0.64508131
-2038.9103,0.99621339,0.53163257,3,9,0,2041.5764,0.56648563,-0.63585948
-2038.988,0.99825526,0.53163257,2,7,0,2039.2132,0.59524825,-0.53017325
-2040.1027,0.9526813,0.53163257,3,7,0,2040.9281,0.5023527,-0.43077197
-2038.2126,0.96347419,0.53163257,2,5,0,2040.8852,0.59826338,-0.63684708
-2038.3945,0.94009924,0.53163257,2,7,0,2039.4487,0.64501411,-0.64980219
-2038.5543,0.97980825,0.53163257,2,7,0,2040.3592,0.5516022,-0.5386454
-2039.2335,0.98037925,0.53163257,2,3,0,2039.2718,0.52300809,-0.48230542
-2039.0183,0.94145414,0.53163257,1,3,0,2039.7491,0.5267558,-0.53628032
-2039.2808,0.96162994,0.53163257,3,7,0,2039.796,0.56396481,-0.48755905
-2041.0607,0.84284383,0.53163257,2,3,0,2041.3249,0.51316678,-0.61552457
-2039.5213,1,0.53163257,2,3,0,2040.7392,0.58381488,-0.49613183
-2039.0573,0.99480553,0.53163257,1,3,0,2039.8999,0.55028208,-0.49075997
-2039.8602,0.99215741,0.53163257,2,3,0,2039.9468,0.49385367,-0.4813158
