# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = wells_dist100_model_model
# start_datetime = 2026-08-20 13:56:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /home/m0hawk/Documents/apin/stan/data/wells_dist100_model.json
# init = 2 (Default)
# random
#   seed = 20262819
# output
#   file = /home/m0hawk/Documents/apin/stan/runs/march_native/wells_dist100_model/rep2/chain_0.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = /home/m0hawk/Documents/apin/stan/build/wells_dist100_model__march_native/model.hpp
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta.1
# Adaptation terminated
# Step size = 0.425319
# Diagonal elements of inverse mass matrix:
# 0.00413949, 0.0108077
-2040.5148,0.93905089,0.42531856,2,3,0,2040.5808,0.49044795,-0.53730674
-2038.6287,1,0.42531856,3,7,0,2040.3405,0.56815268,-0.52652932
-2038.6287,0.92236416,0.42531856,1,3,0,2039.2682,0.56815268,-0.52652932
-2038.6294,1,0.42531856,2,3,0,2038.7466,0.54679539,-0.56052307
-2038.7997,0.9633191,0.42531856,3,7,0,2039.1532,0.55630673,-0.50943062
-2038.4397,0.98390277,0.42531856,3,7,0,2039.0092,0.59264853,-0.65104296
-2038.2619,0.97386686,0.42531856,2,7,0,2038.8638,0.57787602,-0.60180163
-2038.168,0.99858473,0.42531856,2,3,0,2038.2724,0.58732343,-0.59506435
-2038.3064,0.95736636,0.42531856,2,7,0,2038.5446,0.61107227,-0.59209418
-2038.1234,0.99731198,0.42531856,2,3,0,2038.3252,0.60363941,-0.61374136
-2038.3058,0.99399279,0.42531856,4,15,0,2038.5808,0.64035529,-0.67908063
-2038.8535,0.96157989,0.42531856,3,11,0,2039.2588,0.53360601,-0.53882094
-2038.4682,1,0.42531856,2,3,0,2038.8446,0.55832293,-0.54515953
-2038.9563,0.87101596,0.42531856,2,3,0,2039.1921,0.5846275,-0.52036756
-2038.6972,0.99917435,0.42531856,2,7,0,2039.1427,0.59266096,-0.66800985
-2038.6189,0.9357011,0.42531856,3,7,0,2039.4518,0.66334014,-0.67622903
-2038.4227,0.94619696,0.42531856,3,11,0,2039.3051,0.58866162,-0.55652906
-2038.4853,0.9747347,0.42531856,2,3,0,2038.798,0.571352,-0.5399244
-2038.6499,0.9747556,0.42531856,3,11,0,2039.0178,0.64987478,-0.7218035
-2038.8356,0.99418568,0.42531856,2,3,0,2038.87,0.65502285,-0.73738521
-2039.6656,0.99533501,0.42531856,3,11,0,2039.7225,0.50026973,-0.48827737
-2040.0405,0.99332145,0.42531856,2,3,0,2040.1401,0.51361691,-0.43193757
-2038.4852,0.78379398,0.42531856,3,15,0,2042.0684,0.56532179,-0.6016112
-2038.2368,0.97673738,0.42531856,2,3,0,2038.6801,0.58037477,-0.60337558
-2038.4785,0.91603682,0.42531856,2,7,0,2038.8881,0.61142458,-0.57838239
-2038.6636,0.84660994,0.42531856,2,7,0,2040.4157,0.60108764,-0.67805859
-2039.2471,0.95009548,0.42531856,2,3,0,2039.4326,0.62950114,-0.56504166
-2038.5681,0.99700085,0.42531856,3,7,0,2039.6574,0.65469453,-0.7139589
-2038.6424,0.75881462,0.42531856,3,7,0,2040.1349,0.66779943,-0.70174511
-2038.7043,0.94327894,0.42531856,3,7,0,2039.1511,0.61472178,-0.56888523
-2039.3435,0.93157642,0.42531856,2,7,0,2039.6717,0.59509921,-0.70127528
-2038.161,0.98322361,0.42531856,2,3,0,2039.4623,0.62347487,-0.64440064
-2039.1539,0.8594916,0.42531856,2,3,0,2039.4247,0.65881373,-0.62075069
-2038.3214,0.96976325,0.42531856,1,3,0,2039.4788,0.6370448,-0.68397039
-2038.2264,0.95497027,0.42531856,3,11,0,2038.6219,0.57816489,-0.58374815
-2038.2555,0.98244848,0.42531856,2,5,0,2038.3907,0.60621117,-0.59091873
-2038.5081,0.98068272,0.42531856,2,7,0,2038.6721,0.60369799,-0.67184308
-2038.4159,0.94152765,0.42531856,2,3,0,2039.097,0.6086551,-0.67144458
-2038.7291,0.92678458,0.42531856,1,1,0,2038.7443,0.60184658,-0.68275407
-2038.1386,1,0.42531856,2,3,0,2038.6928,0.61790167,-0.63806797
-2038.2207,0.99562023,0.42531856,2,7,0,2038.3532,0.57955061,-0.58187
-2040.394,0.68399798,0.42531856,2,7,0,2042.4046,0.57829915,-0.46238014
-2038.3937,0.9780168,0.42531856,2,7,0,2040.9126,0.5623507,-0.55687354
-2038.1224,0.97465854,0.42531856,2,7,0,2040.0339,0.60091946,-0.61592652
-2038.3472,0.9560688,0.42531856,2,7,0,2038.7997,0.63179124,-0.6234617
-2038.8558,0.9516041,0.42531856,2,7,0,2038.8681,0.60664866,-0.69557878
-2039.7056,0.82236007,0.42531856,1,1,0,2039.7677,0.60162493,-0.72318832
-2042.7508,0.85044611,0.42531856,2,7,0,2044.4879,0.76886439,-0.74347619
-2038.9875,1,0.42531856,3,7,0,2044.1434,0.52729192,-0.51207942
-2038.6009,0.98446364,0.42531856,3,11,0,2039.6694,0.66270247,-0.6770303
-2038.2964,0.99919533,0.42531856,2,7,0,2038.8199,0.58529053,-0.62471176
-2038.6907,0.90829998,0.42531856,1,1,0,2038.6916,0.57576556,-0.63996455
-2038.8582,0.98144403,0.42531856,3,15,0,2039.5242,0.59421012,-0.67885331
-2038.1838,0.99839489,0.42531856,1,3,0,2038.7535,0.61311482,-0.65138953
-2038.9611,0.98965401,0.42531856,3,11,0,2038.9887,0.68218513,-0.7377852
-2038.3589,0.95147357,0.42531856,2,7,0,2040.3579,0.62301589,-0.60573655
-2039.1889,0.99236256,0.42531856,2,7,0,2039.4732,0.66694824,-0.76348142
-2039.608,0.81793672,0.42531856,2,3,0,2041.118,0.7092962,-0.7385332
-2039.4859,0.9911362,0.42531856,2,3,0,2039.8304,0.70195592,-0.71630579
-2039.5075,0.98319512,0.42531856,4,15,0,2040.4668,0.50820069,-0.5191927
-2039.6751,0.97462901,0.42531856,1,3,0,2040.3658,0.5087659,-0.45626452
-2039.6897,0.9943813,0.42531856,3,9,0,2040.2576,0.71014088,-0.78053338
-2038.2709,0.99795162,0.42531856,3,7,0,2039.7597,0.60325594,-0.5855535
-2038.391,0.98801037,0.42531856,2,5,0,2038.6937,0.56769067,-0.55077535
-2038.3938,0.91850074,0.42531856,2,3,0,2039.0066,0.56208481,-0.55779191
-2038.1223,0.8212602,0.42531856,2,3,0,2039.7435,0.60235145,-0.61386914
-2038.1223,0.7207276,0.42531856,2,7,0,2041.1681,0.60235145,-0.61386914
-2038.6774,0.97011919,0.42531856,2,7,0,2039.2671,0.54239567,-0.5431227
-2038.8108,0.9721142,0.42531856,2,3,0,2038.9862,0.54784448,-0.50784022
-2038.68,0.91191013,0.42531856,2,3,0,2039.5362,0.542333,-0.53701542
-2038.1437,0.55287335,0.42531856,2,3,0,2043.5902,0.61852226,-0.63317784
