rho,alpha,sigma
6.30501120338,1.83871165497,2.13460198789
7.47891868803,3.4182876909,1.54622547098
8.75214234353,3.13715502296,1.29928971875
5.2714641809,2.02158243788,2.70956937579
4.78807463281,1.97428769002,2.88080490008
4.87011046107,2.08327256867,2.72571567582
9.52609873621,2.08843010641,1.85368524835
5.90206747031,3.83661431172,1.57229647464
7.06408066562,1.34904625415,2.04953329186
6.42266692521,4.22302235596,1.82043567616
6.26753854666,3.9141246186,1.88011005241
5.51715931363,4.20763077397,1.59260615816
6.20595493456,3.80580477518,1.63985888417
7.17836010565,3.71834409239,3.12732526991
6.83291090845,2.17845058865,1.14026129652
7.52448784429,2.7229308244,1.93834783396
3.86205092104,2.34275619349,1.51133787984
10.8554912782,2.56726639975,1.48328480727
7.51802649358,2.20002400376,1.56548123054
6.30246965032,2.15507184387,1.64679088511
4.90726421653,2.59303307187,1.55840695719
7.33737037145,3.31405376862,1.93468721525
6.63046241266,2.2692195628,1.52733641587
7.48019513728,3.36147532923,2.16542263673
7.01571990699,2.33202139508,2.44394922528
6.78031312883,2.59955527185,1.35974586396
9.01644041552,4.090539735,1.25084225687
5.54456361176,1.28227711607,2.23529902463
8.43548472757,1.47232976851,1.65629591508
5.22546795161,3.74109674241,2.18759249221
6.87575696532,1.836530174,2.35126087788
6.65693583012,2.31050976396,1.56158758299
7.62080646972,2.59957571097,2.12996507663
6.96364955377,2.37151699175,2.89417060374
5.56176068641,2.76724016368,2.63132612834
8.95343850748,1.21450727325,1.53889357126
6.144312107,2.37575547252,1.94048762563
7.29012069971,2.18769226341,1.86326314213
7.36506175993,1.61711674509,1.43220859271
6.54878686486,2.28971286291,2.41331415283
7.1999533822,2.40593243893,1.17992298948
7.93669815183,2.94042331762,1.22414417564
7.08549444819,2.8980981275,1.6448644343
6.68504539125,1.78085925098,1.70770699458
6.11629065188,3.13006479733,1.90165010719
7.11970046877,2.12245467541,1.66345103984
7.93183107871,2.36007669568,1.25465319696
6.78944406322,2.2217412106,1.28808598331
6.48328955484,0.998809609624,1.3773006625
5.09155453236,1.8825902054,1.56489464328
