variant,model,rep,wall_batch_s,sampler_s_per_chain,warmup_s,sampling_s,n_leapfrog_total,n_leapfrog_sampling,divergences,div_rate,treedepth_hits,td_rate,accept_mean,ess_bulk_min,ess_bulk_geomean,ess_tail_min,rhat_max,worst_param,ess_per_sec,ess_per_grad
w3_mst63,lotka_volterra,1,11.19,6.678525,4.425115,2.25341,194086,94158,-4,-0.001,-4,-0.001,,4.830067,9.410038,4.032258,2.489663,z.8.1,0.4316413762287757,2.4886220541409477e-05
w3_mst63,lotka_volterra,0,9.176,6.14146,3.2879475,2.8535125,202035,106385,-4,-0.001,-4,-0.001,,169.509607,1471.746798,212.78446,1.040905,theta.3,18.47314810374891,0.0008390110970871383
w3_mst63,lotka_volterra,2,5.868,4.0338674999999995,2.6852574999999996,1.34861,140319,55027,-4,-0.001,-4,-0.001,,7.033738,21.733936,20.36925,1.56725,sigma.2,1.1986601908657122,5.012676829224837e-05
w3_mst63,kidscore_momiq,1,0.477,0.46065524999999996,0.238117,0.22253825,256004,128000,-4,-0.001,-4,-0.001,,4.032258,4.032258,inf,-inf,beta.1,8.45337106918239,1.575076170684833e-05
w3_mst63,kidscore_momiq,0,0.483,0.45023075,0.22560449999999999,0.22462625,256004,128000,-4,-0.001,-4,-0.001,,4.032258,4.032258,inf,-inf,beta.1,8.348360248447204,1.575076170684833e-05
w3_mst63,kidscore_momiq,2,0.472,0.44344750000000005,0.2228785,0.22056900000000002,256004,128000,-4,-0.001,-4,-0.001,,4.032258,4.032258,inf,-inf,beta.1,8.542919491525424,1.575076170684833e-05
w3_mst63,radon_partially_pooled_noncentered,1,48.509,42.13715,24.0153,18.12185,223528,99903,-4,-0.001,-4,-0.001,,4.365133,5.949546,4.032258,3.739864,sigma_alpha,0.08998604382691872,1.9528349915894207e-05
w3_mst63,radon_partially_pooled_noncentered,0,44.803,43.820825,21.889125,21.9317,255992,128000,-4,-0.001,-4,-0.001,,4.032258,4.032258,inf,-inf,alpha_raw.1,0.08999973216079281,1.5751500046876463e-05
w3_mst63,radon_partially_pooled_noncentered,2,44.322,43.340374999999995,22.217125,21.123250000000002,256050,128000,-4,-0.001,-4,-0.001,,4.032258,4.032258,inf,-inf,alpha_raw.1,0.09097644510626776,1.5747932044522552e-05
w3_mst63,kronecker_gp,0,51.981,42.4049,20.7487,21.6562,365439,183915,-4,-0.001,-4,-0.001,,7.02152,20.499884,4.032258,1.581415,L.28.1,0.1350785864065716,1.9213931736897265e-05
